과목,과목.1,과목.2,과목.3,합계금액,지역명
장,관,항,목,0.0,경남
이전수입,이전수입,이전수입,이전수입,7047625820.0,경남
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,0.0,경남
,,국고보조금,국고보조금,0.0,경남
,,,국고보조금,0.0,경남
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,110200000.0,경남
,,비법정이전수입,비법정이전수입,70000000.0,경남
,,,광역지방자치단체전입금,0.0,경남
,,,기초지방자치단체전입금,70000000.0,경남
,,교육경비보조금,교육경비보조금,40200000.0,경남
,,,광역지방자치단체전입금,0.0,경남
,,,기초지방자치단체전입금,40200000.0,경남
,지방교육자치단체이전수입,지방교육자치단체이전수입,지방교육자치단체이전수입,6844059820.0,경남
,,교육비특별회계전입금수입,교육비특별회계전입금수입,6844059820.0,경남
,,,교육비특별회계전입금,6844059820.0,경남
,,기금회계전입금수입,기금회계전입금수입,0.0,경남
,,,기금회계전입금,0.0,경남
,기타이전수입,기타이전수입,기타이전수입,93366000.0,경남
,,학교회계간이전수입,학교회계간이전수입,0.0,경남
,,,학교발전기금전입금,0.0,경남
,,,다른학교회계전입금,0.0,경남
,,,기타학교회계전입금,0.0,경남
,,기타공공이전수입,기타공공이전수입,93366000.0,경남
,,,기타공공지원금,93366000.0,경남
자체수입,자체수입,자체수입,자체수입,616341270.0,경남
,학부모부담수입,학부모부담수입,학부모부담수입,577734870.0,경남
,,등록금,등록금,0.0,경남
,,,학교운영지원비,0.0,경남
,,수익자부담수입,수익자부담수입,577734870.0,경남
,,,급식비,264092070.0,경남
,,,방과후학교활동비,180526780.0,경남
,,,현장체험학습비,169060.0,경남
,,,청소년단체활동비,0.0,경남
,,,졸업앨범비,16684040.0,경남
,,,교과서비,0.0,경남
,,,기숙사비,48218480.0,경남
,,,기타수익자부담수입,2239650.0,경남
,,,누리과정비,1469990.0,경남
,,,교복구입비,64334800.0,경남
,,,운동부운영비,0.0,경남
,,,돌봄활동운영비,0.0,경남
,행정활동수입,행정활동수입,행정활동수입,38606400.0,경남
,,사용료및수수료,사용료및수수료,17644230.0,경남
,,,사용료및수수료,17644230.0,경남
,,자산수입,자산수입,6804000.0,경남
,,,자산매각대,6804000.0,경남
,,적립금처분수입,적립금처분수입,0.0,경남
,,,적립금처분수입,0.0,경남
,,보증금회수,보증금회수,0.0,경남
,,,보증금회수,0.0,경남
,,기타행정활동수입,기타행정활동수입,14158170.0,경남
,,,지난년도수입,0.0,경남
,,,이자수입,6546170.0,경남
,,,기타행정활동수입,7612000.0,경남
기타수입,기타수입,기타수입,기타수입,99406310.0,경남
,전년도이월금,전년도이월금,전년도이월금,99406310.0,경남
,,순세계잉여금,순세계잉여금,98967860.0,경남
