과목,과목.1,과목.2,과목.3,합계금액,지역명
장,관,항,목,0.0,전북
이전수입,이전수입,이전수입,이전수입,716900000.0,전북
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,0.0,전북
,,국고보조금,국고보조금,0.0,전북
,,,국고보조금,0.0,전북
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,0.0,전북
,,비법정이전수입,비법정이전수입,0.0,전북
,,,광역지방자치단체전입금,0.0,전북
,,,기초지방자치단체전입금,0.0,전북
,,교육경비보조금,교육경비보조금,0.0,전북
,,,광역지방자치단체전입금,0.0,전북
,,,기초지방자치단체전입금,0.0,전북
,지방교육행정기관이전수입,지방교육행정기관이전수입,지방교육행정기관이전수입,716900000.0,전북
,,교육비특별회계전입금수입,교육비특별회계전입금수입,716900000.0,전북
,,,교육비특별회계전입금,716900000.0,전북
,,기금회계전입금수입,기금회계전입금수입,0.0,전북
,,,기금회계전입금,0.0,전북
,기타이전수입,기타이전수입,기타이전수입,0.0,전북
,,학교회계간이전수입,학교회계간이전수입,0.0,전북
,,,학교발전기금전입금,0.0,전북
,,,다른학교회계전입금,0.0,전북
,,,기타학교회계전입금,0.0,전북
,,기타공공이전수입,기타공공이전수입,0.0,전북
,,,기타공공지원금,0.0,전북
자체수입,자체수입,자체수입,자체수입,49666000.0,전북
,학부모부담수입,학부모부담수입,학부모부담수입,46706000.0,전북
,,등록금,등록금,0.0,전북
,,,학교운영지원비,0.0,전북
,,수익자부담수입,수익자부담수입,46706000.0,전북
,,,급식비,46706000.0,전북
,,,방과후학교활동비,0.0,전북
,,,현장체험학습비,0.0,전북
,,,청소년단체활동비,0.0,전북
,,,졸업앨범비,0.0,전북
,,,교과서비,0.0,전북
,,,기숙사비,0.0,전북
,,,기타수익자부담수입,0.0,전북
,,,누리과정비,0.0,전북
,,,교복구입비,0.0,전북
,,,운동부운영비,0.0,전북
,,,돌봄활동운영비,0.0,전북
,행정활동수입,행정활동수입,행정활동수입,2960000.0,전북
,,사용료및수수료,사용료및수수료,0.0,전북
,,,사용료및수수료,0.0,전북
,,자산수입,자산수입,30000.0,전북
,,,자산매각대,30000.0,전북
,,적립금처분수입,적립금처분수입,0.0,전북
,,,적립금처분수입,0.0,전북
,,보증금회수,보증금회수,0.0,전북
,,,보증금회수,0.0,전북
,,기타행정활동수입,기타행정활동수입,2930000.0,전북
,,,지난년도수입,0.0,전북
,,,이자수입,2700000.0,전북
,,,기타행정활동수입,230000.0,전북
기타수입,기타수입,기타수입,기타수입,12260000.0,전북
,전년도이월금,전년도이월금,전년도이월금,12260000.0,전북
,,순세계잉여금,순세계잉여금,12260000.0,전북
,,,순세계잉여금,12260000.0,전북
,,정산대상재원사용잔액,정산대상재원사용잔액,0.0,전북
,,,정산대상재원사용잔액,0.0,전북
,,이월금,이월금,0.0,전북
,,,이월사업비,0.0,전북
세입합계,세입합계,세입합계,세입합계,778826000.0,전북
장,관,항,목,0.0,충북
이전수입,이전수입,이전수입,이전수입,3016687000.0,충북
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,0.0,충북
,,국고보조금,국고보조금,0.0,충북
,,,국고보조금,0.0,충북
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,0.0,충북
,,비법정이전수입,비법정이전수입,0.0,충북
,,,광역지방자치단체전입금,0.0,충북
,,,기초지방자치단체전입금,0.0,충북
,,교육경비보조금,교육경비보조금,0.0,충북
,,,광역지방자치단체전입금,0.0,충북
,,,기초지방자치단체전입금,0.0,충북
,지방교육행정기관이전수입,지방교육행정기관이전수입,지방교육행정기관이전수입,2887543000.0,충북
,,교육비특별회계전입금수입,교육비특별회계전입금수입,2853673000.0,충북
,,,교육비특별회계전입금,2853673000.0,충북
,,기금회계전입금수입,기금회계전입금수입,33870000.0,충북
,,,기금회계전입금,33870000.0,충북
,기타이전수입,기타이전수입,기타이전수입,129144000.0,충북
,,학교회계간이전수입,학교회계간이전수입,129144000.0,충북
,,,학교발전기금전입금,0.0,충북
,,,다른학교회계전입금,129144000.0,충북
,,,기타학교회계전입금,0.0,충북
,,기타공공이전수입,기타공공이전수입,0.0,충북
,,,기타공공지원금,0.0,충북
자체수입,자체수입,자체수입,자체수입,356300000.0,충북
,학부모부담수입,학부모부담수입,학부모부담수입,347200000.0,충북
,,등록금,등록금,0.0,충북
,,,학교운영지원비,0.0,충북
,,수익자부담수입,수익자부담수입,347200000.0,충북
,,,급식비,167020000.0,충북
,,,방과후학교활동비,115450000.0,충북
,,,현장체험학습비,49740000.0,충북
,,,청소년단체활동비,0.0,충북
,,,졸업앨범비,14990000.0,충북
,,,교과서비,0.0,충북
,,,기숙사비,0.0,충북
,,,기타수익자부담수입,0.0,충북
,,,누리과정비,0.0,충북
,,,교복구입비,0.0,충북
,,,운동부운영비,0.0,충북
,,,돌봄활동운영비,0.0,충북
,행정활동수입,행정활동수입,행정활동수입,9100000.0,충북
,,사용료및수수료,사용료및수수료,1900000.0,충북
,,,사용료및수수료,1900000.0,충북
,,자산수입,자산수입,100000.0,충북
,,,자산매각대,100000.0,충북
,,적립금처분수입,적립금처분수입,0.0,충북
,,,적립금처분수입,0.0,충북
,,보증금회수,보증금회수,0.0,충북
,,,보증금회수,0.0,충북
,,기타행정활동수입,기타행정활동수입,7100000.0,충북
,,,지난년도수입,0.0,충북
,,,이자수입,4900000.0,충북
,,,기타행정활동수입,2200000.0,충북
기타수입,기타수입,기타수입,기타수입,80447000.0,충북
,전년도이월금,전년도이월금,전년도이월금,80447000.0,충북
