과목,과목.1,과목.2,과목.3,합계금액,지역명
장,관,항,목,0.0,제주
이전수입,이전수입,이전수입,이전수입,849387000.0,제주
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,0.0,제주
,,국고보조금,국고보조금,0.0,제주
,,,국고보조금,0.0,제주
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,0.0,제주
,,비법정이전수입,비법정이전수입,0.0,제주
,,,광역지방자치단체전입금,0.0,제주
,,,기초지방자치단체전입금,0.0,제주
,,교육경비보조금,교육경비보조금,0.0,제주
,,,광역지방자치단체전입금,0.0,제주
,,,기초지방자치단체전입금,0.0,제주
,지방교육행정기관이전수입,지방교육행정기관이전수입,지방교육행정기관이전수입,849387000.0,제주
,,교육비특별회계전입금수입,교육비특별회계전입금수입,849387000.0,제주
,,,교육비특별회계전입금,849387000.0,제주
,,기금회계전입금수입,기금회계전입금수입,0.0,제주
,,,기금회계전입금,0.0,제주
,기타이전수입,기타이전수입,기타이전수입,0.0,제주
,,학교회계간이전수입,학교회계간이전수입,0.0,제주
,,,학교발전기금전입금,0.0,제주
,,,다른학교회계전입금,0.0,제주
,,,기타학교회계전입금,0.0,제주
,,기타공공이전수입,기타공공이전수입,0.0,제주
,,,기타공공지원금,0.0,제주
자체수입,자체수입,자체수입,자체수입,80786000.0,제주
,학부모부담수입,학부모부담수입,학부모부담수입,76586000.0,제주
,,등록금,등록금,0.0,제주
,,,학교운영지원비,0.0,제주
,,수익자부담수입,수익자부담수입,76586000.0,제주
,,,급식비,26272000.0,제주
,,,방과후학교활동비,29524000.0,제주
,,,현장체험학습비,0.0,제주
,,,청소년단체활동비,0.0,제주
,,,졸업앨범비,0.0,제주
,,,교과서비,0.0,제주
,,,기숙사비,0.0,제주
,,,기타수익자부담수입,0.0,제주
,,,누리과정비,0.0,제주
,,,교복구입비,0.0,제주
,,,운동부운영비,0.0,제주
,,,돌봄활동운영비,20790000.0,제주
,행정활동수입,행정활동수입,행정활동수입,4200000.0,제주
,,사용료및수수료,사용료및수수료,0.0,제주
,,,사용료및수수료,0.0,제주
,,자산수입,자산수입,200000.0,제주
,,,자산매각대,200000.0,제주
,,적립금처분수입,적립금처분수입,0.0,제주
,,,적립금처분수입,0.0,제주
,,보증금회수,보증금회수,0.0,제주
,,,보증금회수,0.0,제주
,,기타행정활동수입,기타행정활동수입,4000000.0,제주
,,,지난년도수입,0.0,제주
,,,이자수입,2000000.0,제주
,,,기타행정활동수입,2000000.0,제주
기타수입,기타수입,기타수입,기타수입,3000000.0,제주
,전년도이월금,전년도이월금,전년도이월금,3000000.0,제주
,,순세계잉여금,순세계잉여금,3000000.0,제주
,,,순세계잉여금,3000000.0,제주
,,정산대상재원사용잔액,정산대상재원사용잔액,0.0,제주
,,,정산대상재원사용잔액,0.0,제주
,,이월금,이월금,0.0,제주
,,,이월사업비,0.0,제주
세입합계,세입합계,세입합계,세입합계,933173000.0,제주
장,관,항,목,0.0,경북
이전수입,이전수입,이전수입,이전수입,1547863000.0,경북
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,0.0,경북
,,국고보조금,국고보조금,0.0,경북
,,,국고보조금,0.0,경북
