과목,과목.1,과목.2,과목.3,합계금액,지역명
장,관,항,목,0.0,전북
이전수입,이전수입,이전수입,이전수입,1520995790.0,전북
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,0.0,전북
,,국고보조금,국고보조금,0.0,전북
,,,국고보조금,0.0,전북
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,11568000.0,전북
,,비법정이전수입,비법정이전수입,0.0,전북
,,,광역지방자치단체전입금,0.0,전북
,,,기초지방자치단체전입금,0.0,전북
,,교육경비보조금,교육경비보조금,11568000.0,전북
,,,광역지방자치단체전입금,0.0,전북
,,,기초지방자치단체전입금,11568000.0,전북
,지방교육행정기관이전수입,지방교육행정기관이전수입,지방교육행정기관이전수입,1486127000.0,전북
,,교육비특별회계전입금수입,교육비특별회계전입금수입,1486127000.0,전북
,,,교육비특별회계전입금,1486127000.0,전북
,,기금회계전입금수입,기금회계전입금수입,0.0,전북
,,,기금회계전입금,0.0,전북
,기타이전수입,기타이전수입,기타이전수입,23300790.0,전북
,,학교회계간이전수입,학교회계간이전수입,6053290.0,전북
,,,학교발전기금전입금,5488870.0,전북
,,,다른학교회계전입금,564420.0,전북
,,,기타학교회계전입금,0.0,전북
,,기타공공이전수입,기타공공이전수입,17247500.0,전북
,,,기타공공지원금,17247500.0,전북
자체수입,자체수입,자체수입,자체수입,55145910.0,전북
,학부모부담수입,학부모부담수입,학부모부담수입,49790860.0,전북
,,등록금,등록금,0.0,전북
,,,학교운영지원비,0.0,전북
,,수익자부담수입,수익자부담수입,49790860.0,전북
,,,급식비,49790860.0,전북
,,,방과후학교활동비,0.0,전북
,,,현장체험학습비,0.0,전북
,,,청소년단체활동비,0.0,전북
,,,졸업앨범비,0.0,전북
,,,교과서비,0.0,전북
,,,기숙사비,0.0,전북
,,,기타수익자부담수입,0.0,전북
,,,누리과정비,0.0,전북
,,,교복구입비,0.0,전북
,,,운동부운영비,0.0,전북
,,,돌봄활동운영비,0.0,전북
,행정활동수입,행정활동수입,행정활동수입,5355050.0,전북
,,사용료및수수료,사용료및수수료,835790.0,전북
,,,사용료및수수료,835790.0,전북
,,자산수입,자산수입,94900.0,전북
,,,자산매각대,94900.0,전북
,,적립금처분수입,적립금처분수입,0.0,전북
,,,적립금처분수입,0.0,전북
,,보증금회수,보증금회수,0.0,전북
,,,보증금회수,0.0,전북
,,기타행정활동수입,기타행정활동수입,4424360.0,전북
,,,지난년도수입,0.0,전북
,,,이자수입,3312880.0,전북
,,,기타행정활동수입,1111480.0,전북
기타수입,기타수입,기타수입,기타수입,8482110.0,전북
,전년도이월금,전년도이월금,전년도이월금,8482110.0,전북
,,순세계잉여금,순세계잉여금,8482110.0,전북
