과목,과목.1,과목.2,과목.3,합계금액,지역명
장,관,항,목,0.0,광주
이전수입,이전수입,이전수입,이전수입,683522000.0,광주
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,0.0,광주
,,국고보조금,국고보조금,0.0,광주
,,,국고보조금,0.0,광주
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,0.0,광주
,,비법정이전수입,비법정이전수입,0.0,광주
,,,광역지방자치단체전입금,0.0,광주
,,,기초지방자치단체전입금,0.0,광주
,,교육경비보조금,교육경비보조금,0.0,광주
,,,광역지방자치단체전입금,0.0,광주
,,,기초지방자치단체전입금,0.0,광주
,지방교육자치단체이전수입,지방교육자치단체이전수입,지방교육자치단체이전수입,683522000.0,광주
,,교육비특별회계전입금수입,교육비특별회계전입금수입,683522000.0,광주
,,,교육비특별회계전입금,683522000.0,광주
,,기금회계전입금수입,기금회계전입금수입,0.0,광주
,,,기금회계전입금,0.0,광주
,기타이전수입,기타이전수입,기타이전수입,0.0,광주
,,학교회계간이전수입,학교회계간이전수입,0.0,광주
,,,학교발전기금전입금,0.0,광주
,,,다른학교회계전입금,0.0,광주
,,,기타학교회계전입금,0.0,광주
,,기타공공이전수입,기타공공이전수입,0.0,광주
,,,기타공공지원금,0.0,광주
자체수입,자체수입,자체수입,자체수입,324738000.0,광주
,학부모부담수입,학부모부담수입,학부모부담수입,322938000.0,광주
,,등록금,등록금,0.0,광주
,,,학교운영지원비,0.0,광주
,,수익자부담수입,수익자부담수입,322938000.0,광주
,,,급식비,58254000.0,광주
,,,방과후학교활동비,227184000.0,광주
,,,현장체험학습비,37500000.0,광주
,,,청소년단체활동비,0.0,광주
,,,졸업앨범비,0.0,광주
,,,교과서비,0.0,광주
,,,기숙사비,0.0,광주
,,,기타수익자부담수입,0.0,광주
,,,누리과정비,0.0,광주
,,,교복구입비,0.0,광주
,,,운동부운영비,0.0,광주
,,,돌봄활동운영비,0.0,광주
,행정활동수입,행정활동수입,행정활동수입,1800000.0,광주
,,사용료및수수료,사용료및수수료,500000.0,광주
,,,사용료및수수료,500000.0,광주
,,자산수입,자산수입,300000.0,광주
,,,자산매각대,300000.0,광주
,,적립금처분수입,적립금처분수입,0.0,광주
,,,적립금처분수입,0.0,광주
,,보증금회수,보증금회수,0.0,광주
,,,보증금회수,0.0,광주
,,기타행정활동수입,기타행정활동수입,1000000.0,광주
,,,지난년도수입,0.0,광주
,,,이자수입,500000.0,광주
,,,기타행정활동수입,500000.0,광주
기타수입,기타수입,기타수입,기타수입,0.0,광주
,전년도이월금,전년도이월금,전년도이월금,0.0,광주
,,순세계잉여금,순세계잉여금,0.0,광주
,,,순세계잉여금,0.0,광주
,,정산대상재원사용잔액,정산대상재원사용잔액,0.0,광주
,,,정산대상재원사용잔액,0.0,광주
,,이월금,이월금,0.0,광주
,,,이월사업비,0.0,광주
세입합계,세입합계,세입합계,세입합계,1008260000.0,광주
장,관,항,목,0.0,전남
이전수입,이전수입,이전수입,이전수입,1641806000.0,전남
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,0.0,전남
,,국고보조금,국고보조금,0.0,전남
,,,국고보조금,0.0,전남
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,0.0,전남
,,비법정이전수입,비법정이전수입,0.0,전남
,,,광역지방자치단체전입금,0.0,전남
,,,기초지방자치단체전입금,0.0,전남
,,교육경비보조금,교육경비보조금,0.0,전남
,,,광역지방자치단체전입금,0.0,전남
,,,기초지방자치단체전입금,0.0,전남
,지방교육자치단체이전수입,지방교육자치단체이전수입,지방교육자치단체이전수입,1641806000.0,전남
,,교육비특별회계전입금수입,교육비특별회계전입금수입,1641806000.0,전남
,,,교육비특별회계전입금,1641806000.0,전남
,,기금회계전입금수입,기금회계전입금수입,0.0,전남
,,,기금회계전입금,0.0,전남
,기타이전수입,기타이전수입,기타이전수입,0.0,전남
,,학교회계간이전수입,학교회계간이전수입,0.0,전남
,,,학교발전기금전입금,0.0,전남
,,,다른학교회계전입금,0.0,전남
,,,기타학교회계전입금,0.0,전남
,,기타공공이전수입,기타공공이전수입,0.0,전남
,,,기타공공지원금,0.0,전남
자체수입,자체수입,자체수입,자체수입,140855000.0,전남
,학부모부담수입,학부모부담수입,학부모부담수입,136202000.0,전남
,,등록금,등록금,0.0,전남
,,,학교운영지원비,0.0,전남
,,수익자부담수입,수익자부담수입,136202000.0,전남
,,,급식비,93811000.0,전남
,,,방과후학교활동비,0.0,전남
,,,현장체험학습비,32451000.0,전남
,,,청소년단체활동비,0.0,전남
,,,졸업앨범비,9940000.0,전남
,,,교과서비,0.0,전남
,,,기숙사비,0.0,전남
,,,기타수익자부담수입,0.0,전남
,,,누리과정비,0.0,전남
,,,교복구입비,0.0,전남
,,,운동부운영비,0.0,전남
,,,돌봄활동운영비,0.0,전남
,행정활동수입,행정활동수입,행정활동수입,4653000.0,전남
,,사용료및수수료,사용료및수수료,301000.0,전남
,,,사용료및수수료,301000.0,전남
,,자산수입,자산수입,100000.0,전남
,,,자산매각대,100000.0,전남
,,적립금처분수입,적립금처분수입,0.0,전남
,,,적립금처분수입,0.0,전남
,,보증금회수,보증금회수,0.0,전남
,,,보증금회수,0.0,전남
,,기타행정활동수입,기타행정활동수입,4252000.0,전남
,,,지난년도수입,0.0,전남
,,,이자수입,3301000.0,전남
,,,기타행정활동수입,951000.0,전남
기타수입,기타수입,기타수입,기타수입,26900000.0,전남
,전년도이월금,전년도이월금,전년도이월금,26900000.0,전남
,,순세계잉여금,순세계잉여금,26000000.0,전남
,,,순세계잉여금,26000000.0,전남
,,정산대상재원사용잔액,정산대상재원사용잔액,900000.0,전남
,,,정산대상재원사용잔액,900000.0,전남
,,이월금,이월금,0.0,전남
,,,이월사업비,0.0,전남
세입합계,세입합계,세입합계,세입합계,1809561000.0,전남
장,관,항,목,0.0,충남
