과목,과목.1,과목.2,과목.3,합계금액
장,관,항,목,0.0
이전수입,이전수입,이전수입,이전수입,21257497464.0
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,0.0
,,국고보조금,국고보조금,0.0
,,,국고보조금,0.0
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,1180004340.0
,,비법정이전수입,비법정이전수입,318236295.0
,,,광역지방자치단체전입금,285707680.0
,,,기초지방자치단체전입금,32528615.0
,,교육경비보조금,교육경비보조금,861768045.0
,,,광역지방자치단체전입금,16983430.0
,,,기초지방자치단체전입금,844784615.0
,지방교육자치단체이전수입,지방교육자치단체이전수입,지방교육자치단체이전수입,18363751821.0
,,교육비특별회계전입금수입,교육비특별회계전입금수입,18363751821.0
,,,교육비특별회계전입금,18363751821.0
,,기금회계전입금수입,기금회계전입금수입,0.0
,,,기금회계전입금,0.0
,기타이전수입,기타이전수입,기타이전수입,1713741303.0
,,학교회계간이전수입,학교회계간이전수입,1644795403.0
,,,학교발전기금전입금,487333253.0
,,,다른학교회계전입금,1157462150.0
,,,기타학교회계전입금,65145900.0
,,기타공공이전수입,기타공공이전수입,59775900.0
,,,기타공공지원금,5370000.0
자체수입,자체수입,자체수입,자체수입,860578698.0
,학부모부담수입,학부모부담수입,학부모부담수입,782902120.0
,,등록금,등록금,3800000.0
,,,학교운영지원비,8324342371.0
,,수익자부담수입,수익자부담수입,8835636497.0
,,,급식비,6525353370.0
,,,방과후학교활동비,358692330.0
,,,현장체험학습비,4982153740.0
,,,청소년단체활동비,1246590200.0
,,,졸업앨범비,1853784277.0
,,,교과서비,645611330.0
,,,기숙사비,76832387.0
,,,기타수익자부담수입,33471820.0
,,,누리과정비,0.0
,,,교복구입비,24367420.0
,,,운동부운영비,150053310.0
,,,돌봄활동운영비,974536650.0
,행정활동수입,행정활동수입,행정활동수입,102200618.0
,,사용료및수수료,사용료및수수료,35511210.0
,,,사용료및수수료,35511210.0
,,자산수입,자산수입,0.0
,,,자산매각대,0.0
,,적립금처분수입,적립금처분수입,267807994.0
,,,적립금처분수입,232909850.0
,,보증금회수,보증금회수,232909850.0
,,,보증금회수,3569000.0
,,기타행정활동수입,기타행정활동수입,49534368.0
,,,지난년도수입,0.0
,,,이자수입,9122668.0
,,,기타행정활동수입,36842700.0
기타수입,기타수입,기타수입,기타수입,874485124.0
,전년도이월금,전년도이월금,전년도이월금,905814268.0
,,순세계잉여금,순세계잉여금,271609123.0
,,,순세계잉여금,292962880.0
,,정산대상재원사용잔액,정산대상재원사용잔액,11184977.0
,,,정산대상재원사용잔액,173606952.0
,,이월금,이월금,774063773.0
,,,이월사업비,697863243.0
세입합계,세입합계,세입합계,세입합계,14585201369.0
