과목,과목.1,과목.2,과목.3,합계금액
장,관,항,목,0.0
이전수입,이전수입,이전수입,이전수입,8665622000.0
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,0.0
,,국고보조금,국고보조금,0.0
,,,국고보조금,0.0
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,0.0
,,비법정이전수입,비법정이전수입,0.0
,,,광역지방자치단체전입금,0.0
,,,기초지방자치단체전입금,0.0
,,교육경비보조금,교육경비보조금,0.0
,,,광역지방자치단체전입금,0.0
,,,기초지방자치단체전입금,0.0
,지방교육자치단체이전수입,지방교육자치단체이전수입,지방교육자치단체이전수입,7007674000.0
,,교육비특별회계전입금수입,교육비특별회계전입금수입,7007674000.0
,,,교육비특별회계전입금,7007674000.0
,,기금회계전입금수입,기금회계전입금수입,0.0
,,,기금회계전입금,0.0
,기타이전수입,기타이전수입,기타이전수입,1657948000.0
,,학교회계간이전수입,학교회계간이전수입,1657948000.0
,,,학교발전기금전입금,498940000.0
,,,다른학교회계전입금,1159008000.0
,,,기타학교회계전입금,0.0
,,기타공공이전수입,기타공공이전수입,0.0
,,,기타공공지원금,0.0
자체수입,자체수입,자체수입,자체수입,933614000.0
,학부모부담수입,학부모부담수입,학부모부담수입,874334000.0
,,등록금,등록금,0.0
,,,학교운영지원비,8943825000.0
,,수익자부담수입,수익자부담수입,9621205000.0
,,,급식비,7190383000.0
,,,방과후학교활동비,250644000.0
,,,현장체험학습비,5311805000.0
,,,청소년단체활동비,1276230000.0
,,,졸업앨범비,2145582000.0
,,,교과서비,602108000.0
,,,기숙사비,46000000.0
,,,기타수익자부담수입,0.0
,,,누리과정비,0.0
,,,교복구입비,18144000.0
,,,운동부운영비,112300000.0
,,,돌봄활동운영비,1373850000.0
,행정활동수입,행정활동수입,행정활동수입,69990000.0
,,사용료및수수료,사용료및수수료,33630000.0
,,,사용료및수수료,63950000.0
,,자산수입,자산수입,0.0
,,,자산매각대,0.0
,,적립금처분수입,적립금처분수입,196954000.0
,,,적립금처분수입,176552000.0
,,보증금회수,보증금회수,176552000.0
,,,보증금회수,300000.0
,,기타행정활동수입,기타행정활동수입,25950000.0
,,,지난년도수입,0.0
,,,이자수입,14800000.0
,,,기타행정활동수입,10850000.0
기타수입,기타수입,기타수입,기타수입,134600000.0
,전년도이월금,전년도이월금,전년도이월금,154702000.0
,,순세계잉여금,순세계잉여금,114601000.0
,,,순세계잉여금,128400000.0
,,정산대상재원사용잔액,정산대상재원사용잔액,26301000.0
,,,정산대상재원사용잔액,115001000.0
,,이월금,이월금,95001000.0
,,,이월사업비,95000000.0
세입합계,세입합계,세입합계,세입합계,4452203000.0
