정책단위사업,정책단위사업.1,합계금액
정책사업,단위사업,0.0
인적자원 운용,인적자원 운용,5735995000.0
,교직원보수,4590512000.0
,기타 교직원 보수,1030987000.0
,교직원 복지 및 역량강화,114496000.0
학생복지/교육격차 해소,학생복지/교육격차 해소,9287651000.0
,급식 관리,8527450000.0
,기숙사 관리,0.0
,보건관리,568722000.0
,교육격차 해소,0.0
,학생복지,191479000.0
기본적 교육활동,기본적 교육활동,2614511000.0
,교과 활동,1400503000.0
,창의적 체험활동,1189742000.0
,자유학기(년) 활동,24266000.0
선택적 교육활동,선택적 교육활동,2480235000.0
,방과후학교 운영,1628261000.0
,직업교육,0.0
,국제교육,0.0
,독서활동,334266000.0
,교기육성,516848000.0
,기타 선택적 교육활동,860000.0
교육활동 지원,교육활동 지원,953129000.0
,교무업무 운영,243059000.0
,생활지도 운영,86978000.0
,연구학교 운영,31100000.0
,학습지원실 운영,409710000.0
,교육여건 개선,182282000.0
학교 일반운영,학교 일반운영,4556794000.0
,학교기관운영,1088832000.0
,시설 장비 유지,3407797000.0
,학교운영 협력,60165000.0
학교시설 확충,학교시설 확충,21500000.0
,시설확충 및 개선,21500000.0
학교 재무활동,학교 재무활동,7116000.0
,반환금,7015000.0
,예비비,101000.0
세출합계,세출합계,25656931000.0
