정책단위사업,정책단위사업.1,합계금액
정책사업,단위사업,0.0
인적자원 운용,인적자원 운용,10307238000.0
,교직원보수,7546996000.0
,기타 교직원 보수,2219834000.0
,교직원 복지 및 역량강화,540408000.0
학생복지/교육격차 해소,학생복지/교육격차 해소,3546960000.0
,급식 관리,1674985000.0
,기숙사 관리,1323000000.0
,보건관리,268350000.0
,교육격차 해소,21672000.0
,학생복지,258953000.0
기본적 교육활동,기본적 교육활동,896708000.0
,교과 활동,539197000.0
,창의적 체험활동,320640000.0
,자유학기(년) 활동,36871000.0
선택적 교육활동,선택적 교육활동,849971000.0
,방과후학교 운영,585163000.0
,직업교육,0.0
,국제교육,0.0
,독서활동,171208000.0
,교기육성,24000000.0
,기타 선택적 교육활동,69600000.0
교육활동 지원,교육활동 지원,1022907000.0
,교무업무 운영,284818000.0
,생활지도 운영,132942000.0
,연구학교 운영,156000000.0
,학습지원실 운영,280784000.0
,교육여건 개선,168363000.0
학교 일반운영,학교 일반운영,3127690000.0
,학교기관운영,674614000.0
,시설 장비 유지,2436511000.0
,학교운영 협력,16565000.0
학교시설 확충,학교시설 확충,238000000.0
,시설확충 및 개선,238000000.0
학교 재무활동,학교 재무활동,11200000.0
,반환금,11200000.0
,예비비,0.0
세출합계,세출합계,20000674000.0
