과목,과목.1,과목.2,과목.3,합계금액
장,관,항,목,0.0
이전수입,이전수입,이전수입,이전수입,20702891000.0
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,0.0
,,국고보조금,국고보조금,0.0
,,,국고보조금,0.0
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,2367395000.0
,,비법정이전수입,비법정이전수입,2319395000.0
,,,광역지방자치단체전입금,0.0
,,,기초지방자치단체전입금,2319395000.0
,,교육경비보조금,교육경비보조금,48000000.0
,,,광역지방자치단체전입금,0.0
,,,기초지방자치단체전입금,48000000.0
,지방교육행정기관이전수입,지방교육행정기관이전수입,지방교육행정기관이전수입,18259711000.0
,,교육비특별회계전입금수입,교육비특별회계전입금수입,18259711000.0
,,,교육비특별회계전입금,18259711000.0
,,기금회계전입금수입,기금회계전입금수입,0.0
,,,기금회계전입금,0.0
,기타이전수입,기타이전수입,기타이전수입,75785000.0
,,학교회계간이전수입,학교회계간이전수입,75685000.0
,,,학교발전기금전입금,1500000.0
,,,다른학교회계전입금,74185000.0
,,,기타학교회계전입금,0.0
,,기타공공이전수입,기타공공이전수입,100000.0
,,,기타공공지원금,100000.0
자체수입,자체수입,자체수입,자체수입,2497550000.0
,학부모부담수입,학부모부담수입,학부모부담수입,2445569000.0
,,등록금,등록금,0.0
,,,학교운영지원비,793817000.0
,,수익자부담수입,수익자부담수입,3232096000.0
,,,급식비,682050000.0
,,,방과후학교활동비,764189000.0
,,,현장체험학습비,302295000.0
,,,청소년단체활동비,0.0
,,,졸업앨범비,925757000.0
,,,교과서비,314927000.0
,,,기숙사비,196000000.0
,,,기타수익자부담수입,216980000.0
,,,누리과정비,7800000.0
,,,교복구입비,16500000.0
,,,운동부운영비,426800000.0
,,,돌봄활동운영비,101725000.0
,행정활동수입,행정활동수입,행정활동수입,51981000.0
,,사용료및수수료,사용료및수수료,7600000.0
,,,사용료및수수료,7600000.0
,,자산수입,자산수입,70710000.0
,,,자산매각대,7110000.0
,,적립금처분수입,적립금처분수입,7290000.0
,,,적립금처분수입,310000.0
,,보증금회수,보증금회수,310000.0
,,,보증금회수,0.0
,,기타행정활동수입,기타행정활동수입,37271000.0
,,,지난년도수입,0.0
,,,이자수입,18970000.0
,,,기타행정활동수입,18301000.0
기타수입,기타수입,기타수입,기타수입,134460000.0
,전년도이월금,전년도이월금,전년도이월금,141440000.0
,,순세계잉여금,순세계잉여금,122840000.0
,,,순세계잉여금,126040000.0
,,정산대상재원사용잔액,정산대상재원사용잔액,15400000.0
,,,정산대상재원사용잔액,26620000.0
,,이월금,이월금,15000000.0
,,,이월사업비,15000000.0
세입합계,세입합계,세입합계,세입합계,17064704000.0
