과목,과목.1,과목.2,과목.3,합계금액
장,관,항,목,0.0
이전수입,이전수입,이전수입,이전수입,7065920700.0
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,0.0
,,국고보조금,국고보조금,0.0
,,,국고보조금,0.0
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,23710000.0
,,비법정이전수입,비법정이전수입,0.0
,,,광역지방자치단체전입금,0.0
,,,기초지방자치단체전입금,0.0
,,교육경비보조금,교육경비보조금,23710000.0
,,,광역지방자치단체전입금,0.0
,,,기초지방자치단체전입금,23710000.0
,지방교육행정기관이전수입,지방교육행정기관이전수입,지방교육행정기관이전수입,7022680740.0
,,교육비특별회계전입금수입,교육비특별회계전입금수입,7022680740.0
,,,교육비특별회계전입금,7022680740.0
,,기금회계전입금수입,기금회계전입금수입,0.0
,,,기금회계전입금,0.0
,기타이전수입,기타이전수입,기타이전수입,19529960.0
,,학교회계간이전수입,학교회계간이전수입,1200000.0
,,,학교발전기금전입금,1200000.0
,,,다른학교회계전입금,0.0
,,,기타학교회계전입금,0.0
,,기타공공이전수입,기타공공이전수입,18329960.0
,,,기타공공지원금,18329960.0
자체수입,자체수입,자체수입,자체수입,560056420.0
,학부모부담수입,학부모부담수입,학부모부담수입,518975060.0
,,등록금,등록금,0.0
,,,학교운영지원비,0.0
,,수익자부담수입,수익자부담수입,518975060.0
,,,급식비,123033300.0
,,,방과후학교활동비,331517110.0
,,,현장체험학습비,12447840.0
,,,청소년단체활동비,0.0
,,,졸업앨범비,21317200.0
,,,교과서비,0.0
,,,기숙사비,0.0
,,,기타수익자부담수입,10165950.0
,,,누리과정비,1745160.0
,,,교복구입비,0.0
,,,운동부운영비,0.0
,,,돌봄활동운영비,18748500.0
,행정활동수입,행정활동수입,행정활동수입,41081360.0
,,사용료및수수료,사용료및수수료,13218720.0
,,,사용료및수수료,13218720.0
,,자산수입,자산수입,4749100.0
,,,자산매각대,4749100.0
,,적립금처분수입,적립금처분수입,0.0
,,,적립금처분수입,0.0
,,보증금회수,보증금회수,0.0
,,,보증금회수,0.0
,,기타행정활동수입,기타행정활동수입,23113540.0
,,,지난년도수입,0.0
,,,이자수입,12805210.0
,,,기타행정활동수입,10308330.0
기타수입,기타수입,기타수입,기타수입,83150380.0
,전년도이월금,전년도이월금,전년도이월금,83150380.0
,,순세계잉여금,순세계잉여금,63596530.0
,,,순세계잉여금,63596530.0
,,정산대상재원사용잔액,정산대상재원사용잔액,0.0
,,,정산대상재원사용잔액,0.0
,,이월금,이월금,19553850.0
,,,이월사업비,19553850.0
세입합계,세입합계,세입합계,세입합계,7709127500.0
