과목,과목.1,과목.2,과목.3,평균금액
장,관,항,목,
이전수입,이전수입,이전수입,이전수입,910276031.7460318
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,0.0
,,국고보조금,국고보조금,0.0
,,,국고보조금,0.0
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,37432984.12698413
,,비법정이전수입,비법정이전수입,33622888.88888889
,,,광역지방자치단체전입금,0.0
,,,기초지방자치단체전입금,33622888.88888889
,,교육경비보조금,교육경비보조금,3810095.238095238
,,,광역지방자치단체전입금,0.0
,,,기초지방자치단체전입금,3810095.238095238
,지방교육자치단체이전수입,지방교육자치단체이전수입,지방교육자치단체이전수입,843355571.4285715
,,교육비특별회계전입금수입,교육비특별회계전입금수입,843355571.4285715
,,,교육비특별회계전입금,843355571.4285715
,,기금회계전입금수입,기금회계전입금수입,0.0
,,,기금회계전입금,0.0
,기타이전수입,기타이전수입,기타이전수입,29487476.19047619
,,학교회계간이전수입,학교회계간이전수입,29487476.19047619
,,,학교발전기금전입금,7973650.793650794
,,,다른학교회계전입금,21513825.396825396
,,,기타학교회계전입금,0.0
,,기타공공이전수입,기타공공이전수입,0.0
,,,기타공공지원금,0.0
자체수입,자체수입,자체수입,자체수입,151422063.4920635
,학부모부담수입,학부모부담수입,학부모부담수입,147302888.8888889
,,등록금,등록금,0.0
,,,학교운영지원비,154020380.95238096
,,수익자부담수입,수익자부담수입,297972476.1904762
,,,급식비,150008380.95238096
,,,방과후학교활동비,62868238.0952381
,,,현장체험학습비,101053000.0
,,,청소년단체활동비,21114158.73015873
,,,졸업앨범비,49759285.71428572
,,,교과서비,14141603.174603175
,,,기숙사비,5765079.365079365
,,,기타수익자부담수입,3799682.5396825396
,,,누리과정비,91365.07936507936
,,,교복구입비,1492761.9047619049
,,,운동부운영비,12534857.142857144
,,,돌봄활동운영비,25362380.95238095
,행정활동수입,행정활동수입,행정활동수입,4289174.603174604
,,사용료및수수료,사용료및수수료,1577095.238095238
,,,사용료및수수료,2058365.0793650793
,,자산수입,자산수입,136190.47619047618
,,,자산매각대,136190.47619047618
,,적립금처분수입,적립금처분수입,3350793.6507936507
,,,적립금처분수입,2814095.238095238
,,보증금회수,보증금회수,2814095.238095238
,,,보증금회수,4761.9047619047615
,,기타행정활동수입,기타행정활동수입,2410650.793650794
,,,지난년도수입,0.0
,,,이자수입,1612396.8253968253
,,,기타행정활동수입,793492.0634920635
기타수입,기타수입,기타수입,기타수입,9907317.46031746
,전년도이월금,전년도이월금,전년도이월금,10439253.968253968
,,순세계잉여금,순세계잉여금,9461936.507936507
,,,순세계잉여금,9739698.412698412
,,정산대상재원사용잔액,정산대상재원사용잔액,699539.6825396825
,,,정산대상재원사용잔액,2270809.523809524
,,이월금,이월금,1825412.6984126985
,,,이월사업비,1825396.8253968253
세입합계,세입합계,세입합계,세입합계,886336301.5873016
