조사년도,개방ID,학교명,시도명,대학원_야간박사과정여자재학생수,대학원_야간박사과정재학생수,대학원_야간석사과정여자재학생수,대학원_야간석사과정재학생수,대학원_주간박사과정여자재학생수,대학원_주간박사과정재학생수,대학원_주간석사과정여자재학생수,대학원_주간석사과정재학생수,대학원_여자재학생수,대학원_재학생수,대학원개황_석사과정입학정원수,대학원개황_학과수,대학원대학수,대학원개황_졸업생수,대학원개황_여자교원수,대학원개황_여자휴학생수,대학원개황_여자사무직원수,대학원개황_여자입학생수,대학원개황_여자졸업생수,대학원개황_재적학생수,대학원개황_재적여학생수,대학원개황_주야간석사과정입학정원수,대학원개황_주간석사과정휴학생수,대학원개황_주간석사과정여자휴학생수,대학원개황_주간석사과정재적학생수,대학원개황_주간석사과정재적여학생수,대학원개황_주간석사과정입학정원수,대학원개황_주간박사과정휴학생수,대학원개황_주간박사과정여자휴학생수,대학원개황_주간박사과정재적학생수,대학원개황_주간박사과정재적여학생수,대학원개황_주간박사과정입학정원수,대학원개황_박사과정학과수,대학원개황_박사과정졸업생수,대학원개황_박사과정여자졸업생수,대학원개황_박사과정입학정원수,대학원개황_석사과정여자졸업생수,대학원개황_석사과정졸업생수,대학원개황_교원정원수,대학원개황_교원수,대학원개황_휴학생수,대학원개황_학교수,대학원개황_사무직원정원수,대학원개황_사무직원수,대학원개황_입학생수,대학원개황_야간석사과정휴학생수,대학원개황_야간석사과정여자휴학생수,대학원개황_야간석사과정재적학생수,대학원개황_야간석사과정재적여학생수,대학원개황_야간석사과정입학정원수,대학원개황_야간박사과정휴학생수,대학원개황_야간박사과정여자휴학생수,대학원개황_야간박사과정재적학생수,대학원개황_야간박사과정재적여학생수,대학원개황_야간박사과정입학정원수
2009,1000070810,전남대학교 수산해양대학원,전남,0,0,0,8,0,0,0,0,0,8,30,5,0,4,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,2,1,0,0,5,2,0,10,0,30,0,0,0,0,0
2009,1000771403,동아대학교 경찰법무대학원,부산,0,0,3,31,0,0,0,0,3,31,0,2,0,12,0,0,0,0,1,32,3,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,1,0,0,0,0,1,0,32,3,0,0,0,0,0,0
2009,1006185710,이화여자대학교 대학원,서울,0,0,0,0,681,681,2050,2050,2731,2731,1191,66,0,1020,14,339,0,1467,1020,3070,3070,0,254,254,2304,2304,1191,85,85,766,766,379,64,888,888,379,132,132,0,31,339,1,0,0,1467,0,0,0,0,0,0,0,0,0,0
2009,1009329259,영산대학교 동양학대학원,부산,0,0,10,10,0,0,0,0,10,10,10,1,0,0,0,0,0,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,10,10,10,0,0,0,0,0
2009,1016234338,침례신학대학교 상담대학원,대전,0,0,24,28,0,0,0,0,24,28,15,1,0,11,0,0,0,14,10,30,24,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,0,0,0,2,1,0,0,16,2,0,30,24,15,0,0,0,0,0
2009,1027296841,한서대학교 건강증진대학원,충남,0,0,30,66,0,0,0,0,30,66,39,4,0,13,1,7,0,21,4,80,37,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,0,0,0,3,14,1,0,0,39,14,7,80,37,39,0,0,0,0,0
2009,1039450466,안동대학교 일반대학원,경북,0,0,0,0,36,135,94,262,130,397,141,37,0,139,0,37,0,71,45,512,167,0,85,32,347,126,141,30,5,165,41,57,28,126,43,57,2,13,0,0,115,1,0,0,198,0,0,0,0,0,0,0,0,0,0
2009,1043084859,한성대학교 예술대학원,서울,0,0,77,85,0,0,0,0,77,85,39,3,0,32,1,7,0,41,26,94,84,0,0,0,0,0,0,0,0,0,0,0,0,32,26,0,0,0,0,1,9,1,0,0,48,9,7,94,84,39,0,0,0,0,0
2009,1045999884,영산대학교 부동산대학원,부산,0,0,11,65,0,0,0,0,11,65,31,1,0,26,0,0,0,8,3,72,11,0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,0,0,0,0,7,1,0,0,35,7,0,72,11,31,0,0,0,0,0
2009,1054430067,한양대학교 행정ㆍ자치대학원,서울,0,0,157,444,0,0,0,0,157,444,180,9,0,172,0,29,1,67,57,519,186,0,0,0,0,0,0,0,0,0,0,0,0,172,57,0,0,0,2,2,75,1,0,2,182,75,29,519,186,180,0,0,0,0,0
2009,1072555363,성결대학교 사회복지대학원,경기,0,0,53,77,0,0,0,0,53,77,30,2,0,32,0,7,0,18,19,86,60,0,0,0,0,0,0,0,0,0,0,0,0,32,19,0,0,0,0,0,9,1,0,0,26,9,7,86,60,30,0,0,0,0,0
