공시년도,개방ID,학교명,학교급명,시도교육청명,공시차수,급식사고발생유무,급식사고발생일자,급식사고귀책사유내용,급식사고처리현황내용,입력일련번호,급식사고학생수,급식사고발생건수
2010,1051666855,상현중학교,중학교,서울특별시교육청,3,Y,20100525, ,해당사항없음,3,0,1
2010,1339325189,장흥관산고등학교,고등학교,전라남도교육청,3,Y,20100517, ,급식사고 없었음,1,0,1
2010,1693901956,여주고등학교,고등학교,경기도교육청,3,Y,20090317, ,"1.사고원인- 2009.03.17. 18:10분경 본교급식소 식당에서 저녁급식 20분 경과후(18:10)학생    학생다수가 통증을 호소하여 인근병원진료 마치고 전원귀가 조치함.    저녁메뉴 육계장 성분 토란대의 독성성분이 우려내지 못하고 조리하여 발생함    3009.03.17. 18:00경 학교장주재 긴급대책회의- 환자후송. 일부급식중단,병원진료    2.2009.03.18(수) 10:00경 여주보건소, 도교육청 11:00경 보고     대부분 완치. 4명 입원(입안과 식도부분 통증)    3.18일(수) 여주군청 보건소에서 급식실 위생점검 실시(특이사항 없음)     3.2009.03.20(금) 전원 퇴원       03.20(금) 보건소 설문조사 실시 (급식종사원 6명, 학생 36명)   ",1,12,1
2010,1746166408,은행고등학교,고등학교,경기도교육청,3,Y,20090401, ,발생무,1,0,1
2010,2016563117,장성하이텍고등학교,고등학교,전라남도교육청,3,Y,20100518, ,해당없음,2,0,1
2010,2038202643,울산여자고등학교,고등학교,울산광역시교육청,3,Y,20090423, ,"1. 추정감염원은 식단분석에서 통계적으로 유의한 값이 나온 음식이 있지만 균이 검출되지 않아 원인식품으로 단정짓기 어렵고 유행곡선으로 미루어 Food Handler에 의한 만성 폭로 감염 양상을 보임. 오염원은 명확히 규명하지 못하였음.  2. 사고발생후 정수기 사용 중단. 급식시설, 화장실 등 방역소독. 학생,조리종사자,교직원에게 손씻기 등 개인 위생강화. 예방교육실시. 가정통신문을 통해 수인성 식품매개질환 혜방을 위한 홍보자료 배부. 급식시설 관계자에게 집단환자 발생 예방을 위한 보건교육 실시.학부모 및 의료기관 모니터링 강화.",1,17,1
2010,2054335594,봉강초등학교,초등학교,전라남도교육청,3,Y,20100520, ,해당없음,1,0,1
2010,2056776404,영오초등학교영현분교장,초등학교,경상남도교육청,3,Y,20100519, ,발생사유없음,1,0,1
2010,2062694966,백화고등학교,고등학교,전북특별자치도교육청,3,Y,20091231, ,급식사고 없음,1,0,1
2010,2382310211,함평중학교,중학교,전라남도교육청,3,Y,20100517, ,0,1,0,1
