과목,과목,과목,과목,금액
장,관,항,목,금액
이전수입,이전수입,이전수입,이전수입,1493789280
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,0
,,국고보조금,국고보조금,0
,,,국고보조금,0
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,270633790
,,비법정이전수입,비법정이전수입,158818980
,,,광역지방자치단체전입금,0
,,,기초지방자치단체전입금,158818980
,,교육경비보조금,교육경비보조금,111814810
,,,광역지방자치단체전입금,0
,,,기초지방자치단체전입금,111814810
,지방교육행정기관이전수입,지방교육행정기관이전수입,지방교육행정기관이전수입,1221422990
,,교육비특별회계전입금수입,교육비특별회계전입금수입,1221422990
,,,교육비특별회계전입금,1221422990
,,기금회계전입금수입,기금회계전입금수입,0
,,,기금회계전입금,0
,기타이전수입,기타이전수입,기타이전수입,1732500
,,학교회계간이전수입,학교회계간이전수입,1732500
,,,학교발전기금전입금,0
,,,다른학교회계전입금,1732500
,,,기타학교회계전입금,0
,,기타공공이전수입,기타공공이전수입,0
,,,기타공공지원금,0
자체수입,자체수입,자체수입,자체수입,260127260
,학부모부담수입,학부모부담수입,학부모부담수입,234636390
,,등록금,등록금,0
,,,학교운영지원비,0
,,수익자부담수입,수익자부담수입,234636390
,,,급식비,36000090
,,,방과후학교활동비,122991290
,,,현장체험학습비,33277860
,,,청소년단체활동비,0
,,,졸업앨범비,4711150
,,,교과서비,0
,,,기숙사비,0
,,,기타수익자부담수입,0
,,,누리과정비,17345500
,,,교복구입비,0
,,,운동부운영비,0
,,,돌봄활동운영비,20310500
,행정활동수입,행정활동수입,행정활동수입,25490870
,,사용료및수수료,사용료및수수료,6631000
,,,사용료및수수료,6631000
,,자산수입,자산수입,0
,,,자산매각대,0
,,적립금처분수입,적립금처분수입,0
,,,적립금처분수입,0
,,보증금회수,보증금회수,0
,,,보증금회수,0
,,기타행정활동수입,기타행정활동수입,18859870
,,,지난년도수입,0
,,,이자수입,6940590
,,,기타행정활동수입,11919280
기타수입,기타수입,기타수입,기타수입,29106730
,전년도이월금,전년도이월금,전년도이월금,29106730
,,순세계잉여금,순세계잉여금,10136260
,,,순세계잉여금,10136260
,,정산대상재원사용잔액,정산대상재원사용잔액,3981470
,,,정산대상재원사용잔액,3981470
,,이월금,이월금,14989000
,,,이월사업비,14989000
세입합계,세입합계,세입합계,세입합계,1783023270
