과목,과목,과목,과목,금액
장,관,항,목,금액
이전수입,이전수입,이전수입,이전수입,670536530
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,0
,,국고보조금,국고보조금,0
,,,국고보조금,0
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,54040030
,,비법정이전수입,비법정이전수입,27522020
,,,광역지방자치단체전입금,0
,,,기초지방자치단체전입금,27522020
,,교육경비보조금,교육경비보조금,26518010
,,,광역지방자치단체전입금,0
,,,기초지방자치단체전입금,26518010
,지방교육행정기관이전수입,지방교육행정기관이전수입,지방교육행정기관이전수입,616496500
,,교육비특별회계전입금수입,교육비특별회계전입금수입,616496500
,,,교육비특별회계전입금,616496500
,,기금회계전입금수입,기금회계전입금수입,0
,,,기금회계전입금,0
,기타이전수입,기타이전수입,기타이전수입,0
,,학교회계간이전수입,학교회계간이전수입,0
,,,학교발전기금전입금,0
,,,다른학교회계전입금,0
,,,기타학교회계전입금,0
,,기타공공이전수입,기타공공이전수입,0
,,,기타공공지원금,0
자체수입,자체수입,자체수입,자체수입,28306400
,학부모부담수입,학부모부담수입,학부모부담수입,27256070
,,등록금,등록금,0
,,,학교운영지원비,0
,,수익자부담수입,수익자부담수입,27256070
,,,급식비,13270500
,,,방과후학교활동비,7350000
,,,현장체험학습비,0
,,,청소년단체활동비,0
,,,졸업앨범비,180000
,,,교과서비,0
,,,기숙사비,0
,,,기타수익자부담수입,2981570
,,,누리과정비,0
,,,교복구입비,0
,,,운동부운영비,0
,,,돌봄활동운영비,3474000
,행정활동수입,행정활동수입,행정활동수입,1050330
,,사용료및수수료,사용료및수수료,200000
,,,사용료및수수료,200000
,,자산수입,자산수입,55000
,,,자산매각대,55000
,,적립금처분수입,적립금처분수입,0
,,,적립금처분수입,0
,,보증금회수,보증금회수,0
,,,보증금회수,0
,,기타행정활동수입,기타행정활동수입,795330
,,,지난년도수입,0
,,,이자수입,557430
,,,기타행정활동수입,237900
기타수입,기타수입,기타수입,기타수입,3082260
,전년도이월금,전년도이월금,전년도이월금,3082260
,,순세계잉여금,순세계잉여금,3081860
,,,순세계잉여금,3081860
,,정산대상재원사용잔액,정산대상재원사용잔액,400
,,,정산대상재원사용잔액,400
,,이월금,이월금,0
,,,이월사업비,0
세입합계,세입합계,세입합계,세입합계,701925190
