과목,과목.1,과목.2,과목.3,평균금액
장,관,항,목,
이전수입,이전수입,이전수입,이전수입,2657187183.0
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,0.0
,,국고보조금,국고보조금,0.0
,,,국고보조금,0.0
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,147500542.5
,,비법정이전수입,비법정이전수입,39779536.875
,,,광역지방자치단체전입금,35713460.0
,,,기초지방자치단체전입금,4066076.875
,,교육경비보조금,교육경비보조금,107721005.625
,,,광역지방자치단체전입금,2122928.75
,,,기초지방자치단체전입금,105598076.875
,지방교육자치단체이전수입,지방교육자치단체이전수입,지방교육자치단체이전수입,2295468977.625
,,교육비특별회계전입금수입,교육비특별회계전입금수입,2295468977.625
,,,교육비특별회계전입금,2295468977.625
,,기금회계전입금수입,기금회계전입금수입,0.0
,,,기금회계전입금,0.0
,기타이전수입,기타이전수입,기타이전수입,214217662.875
,,학교회계간이전수입,학교회계간이전수입,205599425.375
,,,학교발전기금전입금,60916656.625
,,,다른학교회계전입금,144682768.75
,,,기타학교회계전입금,8143237.5
,,기타공공이전수입,기타공공이전수입,7471987.5
,,,기타공공지원금,671250.0
자체수입,자체수입,자체수입,자체수입,107572337.25
,학부모부담수입,학부모부담수입,학부모부담수입,97862765.0
,,등록금,등록금,475000.0
,,,학교운영지원비,1040542796.375
,,수익자부담수입,수익자부담수입,1104454562.125
,,,급식비,815669171.25
,,,방과후학교활동비,44836541.25
,,,현장체험학습비,622769217.5
,,,청소년단체활동비,155823775.0
,,,졸업앨범비,231723034.625
,,,교과서비,80701416.25
,,,기숙사비,9604048.375
,,,기타수익자부담수입,4183977.5
,,,누리과정비,0.0
,,,교복구입비,3045927.5
,,,운동부운영비,18756663.75
,,,돌봄활동운영비,121817081.25
,행정활동수입,행정활동수입,행정활동수입,12775077.25
,,사용료및수수료,사용료및수수료,4438901.25
,,,사용료및수수료,4438901.25
,,자산수입,자산수입,0.0
,,,자산매각대,0.0
,,적립금처분수입,적립금처분수입,33475999.25
,,,적립금처분수입,29113731.25
,,보증금회수,보증금회수,29113731.25
,,,보증금회수,446125.0
,,기타행정활동수입,기타행정활동수입,6191796.0
,,,지난년도수입,0.0
,,,이자수입,1140333.5
,,,기타행정활동수입,4605337.5
기타수입,기타수입,기타수입,기타수입,109310640.5
,전년도이월금,전년도이월금,전년도이월금,113226783.5
,,순세계잉여금,순세계잉여금,33951140.375
,,,순세계잉여금,36620360.0
,,정산대상재원사용잔액,정산대상재원사용잔액,1398122.125
,,,정산대상재원사용잔액,21700869.0
,,이월금,이월금,96757971.625
,,,이월사업비,87232905.375
세입합계,세입합계,세입합계,세입합계,1823150171.125
