파일명,정부이전수입,기타이전수입,학부모부담수입,미사용,행정활동수입,기타,학교급
경기도교육청_사립_고등_결산_세입_2022.csv,1040773422035,30492063743,138230201824,0,7110688412,51247334993,고등
경기도교육청_사립_고등_결산_세입_2023.csv,1182940584740,30943723665,156875790802,0,9301588420,54399270767,고등
경기도교육청_사립_고등_결산_세입_2024.csv,1249738931245,32747232560,183948397473,0,11987001836,129781904478,고등
경기도교육청_사립_중등_결산_세입_2022.csv,342684008914,4646499593,15030168164,0,889259060,10824599519,중등
경기도교육청_사립_초등_결산_세입_2023.csv,3772674370,1247874410,16871779670,0,359564231,2787838652,초등
경기도교육청_사립_초등_결산_세입_2022.csv,4779984840,1456150720,15116024380,0,338055484,1920080418,초등
경기도교육청_사립_중등_결산_세입_2023.csv,392062647688,4414499050,17833674274,0,1922482256,16243653893,중등
경기도교육청_사립_중등_결산_세입_2024.csv,406462809556,5395047716,20444877020,0,2245548275,42341701866,중등
경기도교육청_사립_초등_결산_세입_2024.csv,5998017110,1192120940,18377721700,0,399852326,2852359236,초등
고등_합계,3473452938020,94183019968,479054390099,0,28399278668,235428510238,고등
중등_합계,1141209466158,14456046359,53308719458,0,5057289591,69409955278,중등
초등_합계,14550676320,3896146070,50365525750,0,1097472041,7560278306,초등
2022_합계,1388237415789,36594714056,168376394368,0,8338002956,63992014930,전체
2023_합계,1578775906798,36606097125,191581244746,0,11583634907,73430763312,전체
2024_합계,1662199757911,39334401216,222770996193,0,14632402437,174975965580,전체
