과목,과목,과목,과목,금액
장,관,항,목,금액
이전수입,이전수입,이전수입,이전수입,1530752000
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,0
,,국고보조금,국고보조금,0
,,,국고보조금,0
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,30400000
,,비법정이전수입,비법정이전수입,0
,,,광역지방자치단체전입금,0
,,,기초지방자치단체전입금,0
,,교육경비보조금,교육경비보조금,30400000
,,,광역지방자치단체전입금,0
,,,기초지방자치단체전입금,30400000
,지방교육행정기관이전수입,지방교육행정기관이전수입,지방교육행정기관이전수입,1496352000
,,교육비특별회계전입금수입,교육비특별회계전입금수입,1496352000
,,,교육비특별회계전입금,1496352000
,,기금회계전입금수입,기금회계전입금수입,0
,,,기금회계전입금,0
,기타이전수입,기타이전수입,기타이전수입,4000000
,,학교회계간이전수입,학교회계간이전수입,0
,,,학교발전기금전입금,0
,,,다른학교회계전입금,0
,,,기타학교회계전입금,0
,,기타공공이전수입,기타공공이전수입,4000000
,,,기타공공지원금,4000000
자체수입,자체수입,자체수입,자체수입,143955100
,학부모부담수입,학부모부담수입,학부모부담수입,124812580
,,등록금,등록금,0
,,,학교운영지원비,0
,,수익자부담수입,수익자부담수입,124812580
,,,급식비,67309290
,,,방과후학교활동비,27845050
,,,현장체험학습비,23358240
,,,청소년단체활동비,0
,,,졸업앨범비,6300000
,,,교과서비,0
,,,기숙사비,0
,,,기타수익자부담수입,0
,,,누리과정비,0
,,,교복구입비,0
,,,운동부운영비,0
,,,돌봄활동운영비,0
,행정활동수입,행정활동수입,행정활동수입,19142520
,,사용료및수수료,사용료및수수료,1839520
,,,사용료및수수료,1839520
,,자산수입,자산수입,14000
,,,자산매각대,14000
,,적립금처분수입,적립금처분수입,0
,,,적립금처분수입,0
,,보증금회수,보증금회수,0
,,,보증금회수,0
,,기타행정활동수입,기타행정활동수입,17289000
,,,지난년도수입,0
,,,이자수입,15488100
,,,기타행정활동수입,1800900
기타수입,기타수입,기타수입,기타수입,193665780
,전년도이월금,전년도이월금,전년도이월금,193665780
,,순세계잉여금,순세계잉여금,9598980
,,,순세계잉여금,9598980
,,정산대상재원사용잔액,정산대상재원사용잔액,0
,,,정산대상재원사용잔액,0
,,이월금,이월금,184066800
,,,이월사업비,184066800
세입합계,세입합계,세입합계,세입합계,1868372880
