과목,과목,과목,과목,금액
장,관,항,목,금액
이전수입,이전수입,이전수입,이전수입,10505263530
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,0
,,국고보조금,국고보조금,0
,,,국고보조금,0
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,336358360
,,비법정이전수입,비법정이전수입,290613360
,,,광역지방자치단체전입금,0
,,,기초지방자치단체전입금,290613360
,,교육경비보조금,교육경비보조금,45745000
,,,광역지방자치단체전입금,0
,,,기초지방자치단체전입금,45745000
,지방교육행정기관이전수입,지방교육행정기관이전수입,지방교육행정기관이전수입,10118105170
,,교육비특별회계전입금수입,교육비특별회계전입금수입,10118105170
,,,사립학교보조금수입,10118105170
,,기금회계전입금수입,기금회계전입금수입,0
,,,기금회계전입금,0
,기타이전수입,기타이전수입,기타이전수입,50800000
,,사학법인이전수입,사학법인이전수입,6000000
,,,법인법정부담금,6000000
,,,법인이전수입,0
,,학교회계간이전수입,학교회계간이전수입,42700000
,,,학교발전기금전입금,42700000
,,,다른학교회계전입금,0
,,,기타학교회계전입금,0
,,기타공공이전수입,기타공공이전수입,2100000
,,,기타공공지원금,2100000
자체수입,자체수입,자체수입,자체수입,802504612
,학부모부담수입,학부모부담수입,학부모부담수입,768697990
,,등록금,등록금,0
,,,입학금,0
,,,수업료,0
,,,학교운영지원비,0
,,수익자부담수입,수익자부담수입,768697990
,,,급식비,423573550
,,,방과후학교활동비,0
,,,현장체험학습비,274937740
,,,청소년단체활동비,0
,,,졸업앨범비,14709600
,,,교과서비,0
,,,기숙사비,0
,,,기타수익자부담수입,5977100
,,,누리과정비,0
,,,교복구입비,0
,,,운동부운영비,49500000
,,,돌봄활동운영비,0
,행정활동수입,행정활동수입,행정활동수입,33806622
,,사용료및수수료,사용료및수수료,2975400
,,,사용료및수수료,2975400
,,자산수입,자산수입,0
,,,자산매각대,0
,,적립금처분수입,적립금처분수입,0
,,,적립금처분수입,0
,,보증금회수,보증금회수,0
,,,보증금회수,0
,,기타행정활동수입,기타행정활동수입,30831222
,,,지난년도수입,0
,,,이자수입,22218342
,,,기타행정활동수입,8612880
기타수입,기타수입,기타수입,기타수입,150234772
,전년도이월금,전년도이월금,전년도이월금,150234772
,,순세계잉여금,순세계잉여금,23466022
,,,순세계잉여금,23466022
,,정산대상재원사용잔액,정산대상재원사용잔액,0
,,,정산대상재원사용잔액,0
,,이월금,이월금,126768750
,,,이월사업비,126768750
세입합계,세입합계,세입합계,세입합계,11458002914
