뉴스 식별자,일자,언론사,제목,특성추출(가중치순 상위 50개),URL,대분류,중분류,소분류,세부항목 예시,뉴스 일반 표현,유사도
1100301.202408071,20240807,내일신문,고교학점제와 공동교육과정 고교학점제 안착 수업 선택권 관건 공동 교육과정 주목,교육과정 교과전형 온라인 이수 서울 온라인학교 인천 거점형,https://www.naeil.com/news/read/519252?ref=bigkinds,기본적교육활동,교과활동,교과활동지원,공동교육과정운영,"고교 공동교육과정, 학교 간 교육과정 공유, 맞춤형 수업 운영, 교육과정 다양화",0.8597063422203064
1100201.202408141,20240814,국민일보,코로나 걸렸어요 학교 가도 되나요 방역 지침은,코로나19 치료제 감염병 코로나 확진자 고위험군 60세 병원급 관계자 방역당국 사용량 병원장 전파력,https://www.kmib.co.kr/article/view.asp?arcid=0020422822&code=61121111&cp=kd,학생복지/교육격차해소,보건관리,학생및교직원보건안전관리,감염병예방관리,"코로나19 대응, 학교 방역, 전염병 예방교육, 감염병 관리 지침",0.8435314297676086
1101001.202408211,20240821,한겨레,요양시설 학교 다시 덮친 코로나 더 구체적인 방역지침 필요,코로나19 감염병 치료제 질병청 보건교사 강원도 관계자 치명률 강류교,http://www.hani.co.kr/arti/society/health/1154749.html,학생복지/교육격차해소,보건관리,학생및교직원보건안전관리,감염병예방관리,"코로나19 대응, 학교 방역, 전염병 예방교육, 감염병 관리 지침",0.8205058574676514
1101001.202408151,20240815,한겨레,질병청 마스크 쓰세요 코로나 입원 폭증에 예방수칙 마련,코로나19 관리청 호흡기 종사자 질병관리청 의료기관 여름철 감염취약시설 병가 구성원 60살 면역저 고위험군 기침예절 소속기관 의료계 전문가 불필요 보호자 방문자 질병청 관계부처 협의체 1천 코로나 감염병,http://www.hani.co.kr/arti/society/health/1153856.html,학생복지/교육격차해소,보건관리,학생및교직원보건안전관리,감염병예방관리,"코로나19 대응, 학교 방역, 전염병 예방교육, 감염병 관리 지침",0.8120161890983582
1100751.202408201,20240820,아시아투데이,충남교육청 개학기 학교에 코로나19 방역 수칙 긴급 안내,코로나19 확진자 교직원 김관태 아시아투데이 여름철 호흡기 학부모 충남도교육청 능동감시체계 김지철 개학기 감염병 학생들 선제적 교육감,https://www.asiatoday.co.kr/view.php?key=20240820010010470,학생복지/교육격차해소,보건관리,학생및교직원보건안전관리,감염병예방관리,"코로나19 대응, 학교 방역, 전염병 예방교육, 감염병 관리 지침",0.8096430897712708
1100401.2024082,20240820,동아일보,손 씻고 실내 환기 교실 내 코로나 확산 막아라,감염병 호흡기 코로나19 전북도교육청 확진자 서거석 나이스 코로나바이러스 전문가 협의체 모의훈련 전북 교직원 감염증 지원청 최소화,https://www.donga.com/news/Society/article/all/20240819/126590109/2,학생복지/교육격차해소,보건관리,학생및교직원보건안전관리,감염병예방관리,"코로나19 대응, 학교 방역, 전염병 예방교육, 감염병 관리 지침",0.8078382611274719
1100901.20240805,20240805,중앙일보,광주교대 글로벌 인재 육성 프로젝트 통해 다문화 교육 역량 강화,다문화 베트남 광주교대 한국 교육청 전남교육청 전남 허승준,https://www.joongang.co.kr/article/25268482,선택적교육활동,기타선택적교육활동,다문화교육운영,다문화교육중점학교,"다문화중점학교, 다문화교육 시범학교, 다문화 특화 교육기관",0.7995847463607788
1100201.202408072,20240807,국민일보,포토 물놀이도 안전하게 생존수영 배워요,송파구 생존수영 서울 경찰청 여름철 물놀 해양경찰청 어린이들 안전교육 교육관 물놀이 안전 교육 수영 생존 해양 어린이 체험 진행,,교육활동지원,생활지도운영,학생안전교육,생존수영교육,"생존 수영 교육, 수상 안전 교육, 물놀이 사고 예방",0.7977166771888733
1101101.202408151,20240815,한국일보,경남교육청 다문화 학생 위한 단계별 맞춤형 교육 강화,다문화 경남 한국어 김해 전교생 시군 경남교육청 의사소통 통번역 김경규,https://www.hankookilbo.com/News/Read/A2024081422320003316,선택적교육활동,기타선택적교육활동,다문화교육운영,다문화교육/학급운영,"다문화 학급 운영, 다문화 학생 교육, 다문화 통합 교육",0.7929811477661133
1100801.20240829,20240829,조선일보,코로나 더 번질라 개강 앞둔 대학 방역 작업,코로나19 경산시 경북 대학교 관리청 질병관리청 재확산 강의실 관계자 관계자들 대학들 코로나 방역 개강 대학 이날 입원 업체 작업 질병 유행 환자 정점 여름 긴장 감소,https://www.chosun.com/national/education/2024/08/29/YSSCGLIE5FFZPD3QF3BC2FAFWU/?utm_source=bigkinds&utm_medium=original&utm_campaign=news,학생복지/교육격차해소,보건관리,학생및교직원보건안전관리,감염병예방관리,"코로나19 대응, 학교 방역, 전염병 예방교육, 감염병 관리 지침",0.7917883396148682
