뉴스 식별자,일자,언론사,제목,특성추출(가중치순 상위 50개),URL,대분류,중분류,소분류,세부항목 예시,뉴스 일반 표현,유사도
1100501.20250321,20250321,문화일보,서울 중구 대학생 멘토링 운영 청소년 일대일 배운다,멘토 대학생 온라인 상반기 서울 멘티 일대일 체험활동 장학금 고등학교 중구 청소년들,http://www.munhwa.com/news/view.html?no=2025032101039927163003,선택적교육활동,기타선택적교육활동,기타선택적교육운영,대학생멘토링제운영,"대학생 멘토링, 학습 멘토 프로그램, 교육기부 멘토링, 취약계층 학습지원",0.8578630089759827
1100501.202503181,20250318,문화일보,특허청 초등교 발명교육 강화 발명 학급 교원 양성학교 늘린다,발명교육 특허청 교원양성학교 늘봄학교 다양화 발명교육센터 학생들 교육과정,http://www.munhwa.com/news/view.html?no=2025031801039927102001,선택적교육활동,기타선택적교육활동,창의교육운영,발명교실운영,"발명교육, 창의력 개발, 메이커 교육, 발명 아이디어 교실",0.7988401651382446
1100751.202503191,20250319,아시아투데이,경북교육청 맞춤형 교육복지 실현 최선 교육복지우선지원사업 추진,학생들 교육복지우선지원사업 경북교육청 사업학교 아시아투데이 문봉현 복지사 교육복지사 중학교 지역사회 68억 교육청 학부모 사업예산 임종식 교육감 교육격차 경북도교육청 형평성 방위적 사각지대 학생 지원 교육,https://www.asiatoday.co.kr/view.php?key=20250319010009857,학생복지/교육격차해소,학생복지,교육복지우선,교육복지사업운영비,"교육복지사업, 취약계층 학생 프로그램, 교육복지 프로그램 운영",0.7958651185035706
1100751.202503281,20250328,아시아투데이,전북교육청 다문화학생 한국어 학급 운영,한국어 다문화학생 전북교육청 다문화 박윤근 아시아투데이 관리자 의사소통 군산 정읍 익산 자치도 전북 교육청 김제 전북자치도교육청 학교생활 문화학생 전주 서거석 담당교사들 한국,https://www.asiatoday.co.kr/view.php?key=20250328010015854,선택적교육활동,기타선택적교육활동,다문화교육운영,다문화교육/학급운영,"다문화 학급 운영, 다문화 학생 교육, 다문화 통합 교육",0.7890074253082275
1100301.202503051,20250305,내일신문,기고 체육교육으로 학력 격차를 줄이자,한국 체육수업 체육교육 미국 아이들 조종현 활성화 연구회 패드민턴 레이티 ai 대화방 학생들 재발견 국립순천대 최순나 서울대 장학사 독일 오정훈 서울 구룡중 네이퍼 하버드 신체활동,https://www.naeil.com/news/read/539968?ref=bigkinds,기본적교육활동,교과활동,체육교과활동,체육교육활성화,"체육 수업, 체력 증진 활동, 체육대회, 학생 스포츠 활동",0.7791885137557983
1100301.202503292,20250329,내일신문,서울시립대 스쿨어택 방문 고교 모집,서울시립대 스쿨어택 입학처 고등학교 홍보대사 입학사정관 서울 서울시 사정관 scouter 구글폼 uos 구글 서울시립대학교 원용걸 인스타그램 고교생 입학전형 홈페이지 학년도 입학 방문 상담 프로그램 스카우터 입시 소재 고교,https://www.naeil.com/news/read/542863?ref=bigkinds,교육활동지원,교무업무운영,교무학사운영,입학전형,"학교 입학전형, 입학전형 관리, 전형 일정 공고",0.7780666947364807
1100751.202503191,20250319,아시아투데이,경북교육청 도서관과 연계한 늘봄학교 운영 양질의 교육 기회 제공,도서관 늘봄도서관 늘봄 학부모 잉글리쉬 늘봄학교 학생들 수요자 교육청 문봉현 경북 아시아투데이 경북교육청 english 책놀이 교과서랑 에코 12회 4억,https://www.asiatoday.co.kr/view.php?key=20250319010009826,선택적교육활동,방과후학교운영,늘봄학교운영,늘봄학교(교실)운영,"늘봄학교 운영, 돌봄교실 확장, 온종일 교육체계, 학교 중심 돌봄",0.7759271860122681
1100751.202503101,20250310,아시아투데이,학부모 교육활동 참여 지원 2025 서울학부모배움과정 연수 실시,학부모 서울 서울학부모지원센터 홈페이지 서울시교육청 서울학부모 관계자 지환혁 정책변화 아시아투데이 학부모소양 학부모들 생애주기,https://www.asiatoday.co.kr/view.php?key=20250310010004312,학교일반운영,학교운영협력,학부모협력,학부모회연수운영,"학부모 연수, 학부모 교육 프로그램, 보호자 교육",0.7730777263641357
1100301.202503051,20250305,내일신문,취업희망 일반고 3학년생 직업훈련 지원,일반고 고용부 학생들 특화훈련 직업훈련 임영미 직무역량 음식서비스 게임콘텐츠 멀티미디어 모의면접 국민내일 학교장 평가원 사물인터넷 이력서 20만 교육부 노동부 훈련기관 꿈드림 꿈드림센터 취업률,https://www.naeil.com/news/read/540029?ref=bigkinds,선택적교육활동,직업교육,직업교육운영,직업능력개발훈련,"직무 능력 향상, 직업훈련 프로그램, 직무역량 강화",0.7637363076210022
1100751.202503241,20250324,아시아투데이,경북교육청 맞춤형 복지제도 확대 다양한 혜택 선택,경북교육청 맞춤형 교직원 30만 10만 복지제도 정종희 아시아투데이 문봉현 공무원 여가활용 건강관리 50만 치료비 난임 격년제 경북 교육청 자기계발 경북교육 검진비 출산축하금 순번x100,https://www.asiatoday.co.kr/view.php?key=20250324010012662,인적자원운용,교직원복지및역량강화,교직원복지,맞춤형복지비,"교직원 복지 포인트, 맞춤형 복지 제도, 교사 복지비 지원",0.7627373337745667
1100751.202503031,20250303,아시아투데이,서울시교육청 저소득층 학생 교육비 교육급여 지원 접수,교육비 교육급여 서울시교육청 학부모 급식비 학교장 수익자 아시아투데이 박주연 지원비 시교육청 교육활동지원비 수업료 입학금 주민센터 9500원 구입비 통신비 후학교 9000원,https://www.asiatoday.co.kr/view.php?key=20250303010000312,학생복지/교육격차해소,학생복지,학생장학금운영,학생장학금지원,"장학금 지급, 학생 장학 제도, 교육비 지원, 장학생 선발 공고",0.7618663311004639
1100901.202503211,20250321,중앙일보,경희사이버대 서울시가족센터 다문화가정 교육지원 협약,다문화 서울시가족센터 경희사이버대학교 한국어 글로벌자율학부 홍우정 다문화가족들 강민석 신봉섭 자치구 서진숙 한국 서울시,https://www.joongang.co.kr/article/25322356,선택적교육활동,기타선택적교육활동,다문화교육운영,다문화교육중점학교,"다문화중점학교, 다문화교육 시범학교, 다문화 특화 교육기관",0.7598423361778259
