뉴스 식별자,일자,언론사,제목,특성추출(가중치순 상위 50개),URL,대분류,중분류,소분류,세부항목 예시,뉴스 일반 표현,유사도
1100401.202211011,20221101,동아일보,밀집사고 방지 학교 안전교육 강화 위험 인지 회피 방법 배워야,안전교육 표준안 교육부 학생들 집필진 생활안전 안전수칙 오준영 서울 중학교 전북 종로구 모두발언 핼러윈 이태원,https://www.donga.com/news/article/all/20221101/116260387/1,교육활동지원,생활지도운영,학생안전교육,안전교육,"학생 안전교육, 생활안전 교육, 학교 안전 지침",0.8444342613220215
1100801.202211011,20221101,조선일보,학교 안전교육에 사람들 몰리는 곳 안전 수칙 보강한다,이태원 교육부 안전교육 안전사고 사람들 생활안전 표준안 핼러윈 상주시민운동장 고등학교 집필진 교통안전 안전요원 온라인 공연장 경북 오준영 앞쪽 중학교,https://www.chosun.com/national/education/2022/11/01/56FWOGPIVNEZROG2OUDXSBLAGU/?utm_source=bigkinds&utm_medium=original&utm_campaign=news,교육활동지원,생활지도운영,학생안전교육,안전교육,"학생 안전교육, 생활안전 교육, 학교 안전 지침",0.8119176626205444
1100751.202211091,20221109,아시아투데이,소방청 심폐소생술 응급처치 교육 강화한다,응급처치 심폐소생술 소방청 소생술 위급상황 체계화 심정지 골든타임 황기석 수요자,https://www.asiatoday.co.kr/view.php?key=20221109010004793,교육활동지원,생활지도운영,학생안전교육,응급처치교육,"응급처치 교육, 심폐소생술 교육, 응급 상황 대처",0.8078835606575012
1100401.20221123,20221123,동아일보,학교 안전교육 제대로 실시해야 내 생각은 최희영,안전교육 공교육 학생들 대피훈련 시간date 부반장 운동장 심폐소 생술 중요시 최희영 소생술 교육 학교 실습 안전 교장 공부 훈련 마네킹 학생 방식 진행 화재 반장 단체 의무 지진 설명 제지 부족 말씀 지원 선생 교사 학원 대피,https://www.donga.com/news/article/all/20221122/116631606/1,교육활동지원,생활지도운영,학생안전교육,안전교육,"학생 안전교육, 생활안전 교육, 학교 안전 지침",0.8029714226722717
1100401.2022113,20221130,동아일보,실무 중심 교육과정으로 현장에서 강한 미래형 전문 인재 양성,전문가 교육과정 사이버대 고려사이버대 등록금 온라인 자격증 재학생 데이터베이스 편입생 교수진 이주민,https://www.donga.com/news/article/all/20221129/116750196/1,선택적교육활동,직업교육,직업교육운영,직업교육운영,"직업교육, 진로직업 교육, 기술교육 강화, 실무형 인재 양성",0.7982402443885803
1100301.202211021,20221102,내일신문,기아 청소년 진로상담 프로그램,진로쌤 드림커넥트 카카오톡 진로탐색 일대일 실시간 비대면 챗봇 커리어넷 문자상담 임직원 교육부 학생들 수요일 상담기회 연합회 진로 상담 기아 청소년 정보 프로그램 미래 제공 전화 교사,http://www.naeil.com/news_view/?id_art=440377,기본적교육활동,창의적체험활동,진로활동,진로상담활동,"진로 상담, 진로 멘토링, 학생 진로 설계 지도, 진로코칭 프로그램",0.793860673904419
1100901.20221129,20221129,중앙일보,issue 대학생 멘토 대상 역량 강화 교육에 이어청소년 멘티 위한 진로 프로그램도 진행,멘티 멘토 lh 멘토들 직업인들 멘티들 직업인 시간date lh멘토 아이들 한국토지주택공사,https://www.joongang.co.kr/article/25121363,선택적교육활동,기타선택적교육활동,기타선택적교육운영,대학생멘토링제운영,"대학생 멘토링, 학습 멘토 프로그램, 교육기부 멘토링, 취약계층 학습지원",0.7926424145698547
1100401.202211021,20221102,동아일보,대피 땐 한 줄로 응급처치는 제대로 숙지 의성안전체험관서 배우는 안전교육,체험관 경북 응급처치 학생들 표준안 안전교육 아이들 의성안전체험관 cpr 생활안전 유치원 이태원,https://www.donga.com/news/article/all/20221102/116281406/1,교육활동지원,생활지도운영,학생안전교육,안전교육,"학생 안전교육, 생활안전 교육, 학교 안전 지침",0.7910524010658264
1100101.202211011,20221101,경향신문,학교 안전교육에 밀집 사고 대비 도 추가한다 교육부 개정 추진,안전교육 교육부 이태원 심폐소생술 다중이용시설 교육과정 김성호 사용법 오준영 전북교총 핼러윈 교육안 시간date,https://www.khan.co.kr/national/national-general/article/202211011426001,교육활동지원,생활지도운영,학생안전교육,안전교육,"학생 안전교육, 생활안전 교육, 학교 안전 지침",0.7851095199584961
1100611.20221124,20221124,서울신문,초등학생 재난대응 훈련,울산 남구 비상벨 훈련 발생 학교 건물 화재 대응 재난 보호 지진 머리 지역 학생 헬멧 여진 진행 가정 인근 상황 대피,http://go.seoul.co.kr/news/newsView.php?id=20221124010026,교육활동지원,생활지도운영,학생안전교육,소방훈련,"학교 소방훈련, 화재 대피 훈련, 소방 안전 교육",0.7771914601325989
1101101.202211011,20221101,한국일보,학교 안전교육 매뉴얼에 다중밀집장소 보강한다,표준안 안전교육 안전수칙 이태원 안전사고 연구진 교육부 다중밀집장소 전북교총 온라인 오준영 2학년 책임자 코로나19 33차 한시적 수업시간,https://hankookilbo.com/News/Read/A2022110114550004876,교육활동지원,생활지도운영,학생안전교육,안전교육,"학생 안전교육, 생활안전 교육, 학교 안전 지침",0.7768666744232178
1100301.202211171,20221117,내일신문,실내 공기질 관리 이렇게,실내공기질 국립환경과학원 오염원 누리집 대응법 환경부 실내공 공기질 전자파일 nier 오염물질 미세먼지 폼알데하이드 건축자재 체크리스트 점검표 가습기 도서관 겨울철 과학원 미생물 환기방법 김동진,http://www.naeil.com/news_view/?id_art=442047,학생복지/교육격차해소,보건관리,학교환경위생관리,공기질관리,"미세먼지 대응, 학교 공기질, 환기 시스템, 공기청정기 설치",0.772013783454895
1100701.20221102,20221102,세계일보,생명을 살리는 기술 심폐소생술 등 응급처치 교육 관심 뉴스,cpr 응급처치 심정지 이태원 심폐소생술 희생자 자격증 소생술 충격기 자동심장 일반인 사람들 온라인 일반인들 구급대원 골든타임 순식간 자동심장충격기 게시판 대원 소지자 aed 사고 현장 관심 시민 처치 경찰 참사 발생 사이 가능 압사 응급 교육 가슴 압박,http://www.segye.com/content/html/2022/11/01/20221101513602.html,교육활동지원,생활지도운영,학생안전교육,응급처치교육,"응급처치 교육, 심폐소생술 교육, 응급 상황 대처",0.7707891464233398
1100751.202211241,20221124,아시아투데이,소방청 대형건축물 다중이용시설 소방훈련 강화,소방훈련 소방청 근무자 다중이용시설 다수인 아시아투데이 김소영 건축물 황기석 관계인 대상물 소방서장 1급 화재예방법 본부장 예방법 소방안전관리대상물 소방본부장 안전관리 거주자 교육결과 교육 화재 소방 시설 예방 대형 강화 평가 훈련 대응,https://www.asiatoday.co.kr/view.php?key=20221124010013585,교육활동지원,생활지도운영,학생안전교육,소방훈련,"학교 소방훈련, 화재 대피 훈련, 소방 안전 교육",0.7614165544509888
1100901.20221128,20221128,중앙일보,e글중심 교권 보호안 상정 교사 안전판 필요 체벌 부활엔 반대,개정안 안전판 해결법 고등학교 생활지도 정서학대 학생부 위원회 중등교육법 국민신문고 지위법 학교장 강원도 교원지위법 교육법 얼차려 명시적 발길질 보호안 머리채,https://www.joongang.co.kr/article/25121038,인적자원운용,교직원복지및역량강화,교직원복지,교육활동보호지원,"교권 보호 정책, 교사 폭력 방지, 교사 보호법, 교육활동 안전 확보",0.7517911791801453
1100401.20221122,20221122,동아일보,심폐소생술 교육 받는 서울시교육청 관계자들,서울시교육청 조희연 종로구 소생술 심폐소생술 안전한국훈련 충격기 자동심장 서울시 이용법 자동심장충격기 교육감 관계자 한국 행정안전부 aed 훈련 교육 재난 심폐 안전 대응 청사 간부 참여,https://www.donga.com/news/article/all/20221122/116610344/1,교육활동지원,생활지도운영,학생안전교육,응급처치교육,"응급처치 교육, 심폐소생술 교육, 응급 상황 대처",0.747673749923706
