뉴스 식별자,일자,언론사,제목,특성추출(가중치순 상위 50개),URL,대분류,중분류,소분류,세부항목 예시,뉴스 일반 표현,유사도
1100701.202402051,20240205,세계일보,교사 업무부담 구인난 안전문제 늘봄학교 과제 산적,공무원 늘봄학교 기간제 늘봄 교육부 교육청 교사들 구인난 2학기 담임교사 전담사 행정직 늘봄지원실 사무처장 정수경 전태영,http://www.segye.com/content/html/2024/02/05/20240205506883.html,인적자원운용,기타교직원보수,교직원대체인건비,교원대체인건비,"기간제 교사, 대체 교사, 출산휴가 교사, 교사 인력난",0.823198676109314
1100611.202402051,20240205,서울신문,초1 누구나 저녁까지 학교서 돌봐준다 늘봄학교 올해 전국 확대,늘봄학교 늘봄 1학년 학부모 방과후 공무원 교육부 돌봄 1학기 아이들 경기도 민생토론회 토론회,http://www.seoul.co.kr/news/newsView.php?id=20240205500068,선택적교육활동,방과후학교운영,늘봄학교운영,늘봄학교(교실)운영,"늘봄학교 운영, 돌봄교실 확장, 온종일 교육체계, 학교 중심 돌봄",0.8229013085365295
1100751.202402061,20240206,아시아투데이,도서 읍면 학교서 안전체험교육 체험 중심 안전교육 강화,안전사고 안전체험교육 체험교육 이동장치 학생들 고등학교 제품안전교육 안전교육 자원부 교육부 한국해양교통안전공단 표준원 박지숙 교통안전교육 읍면 아시아투데이 전진석 가상현실 가상세계 메타버스 도로교통공단 소방청 한국해양교통안전 전문가 읍면지역 안전체험시설,https://www.asiatoday.co.kr/view.php?key=20240206010003092,교육활동지원,생활지도운영,학생안전교육,안전교육,"학생 안전교육, 생활안전 교육, 학교 안전 지침",0.8215572237968445
1100201.202402211,20240221,국민일보,교사 첫걸음 동행 광주교육연수원 신규 교사 직무연수,예비교사 신규교사 교육과정 광주교육연수원 직무연수 이정선 원격과정 빅데이터 집합과정 첫걸음 예정자 업무포털 레시피 비교과 학교급 학부모 인성교육 학생생활지도 광주교육 밑거름,https://www.kmib.co.kr/article/view.asp?arcid=0019817872&code=61121111&cp=kd,인적자원운용,교직원복지및역량강화,교직원역량강화,직무연수,"교사 연수, 직무교육, 교사 역량 강화 프로그램",0.7976261973381042
1100801.20240206,20240206,조선일보,늘봄학교 1학년 교실엔 온돌 2026년엔 6학년까지 돌봄 확대,늘봄학교 학부모 1학기 2학기 교육부 늘봄 공무원 1학년 도서관 맞벌이 지자체 인건비 6학년 교육청,https://www.chosun.com/national/education/2024/02/06/BMKDFHWL55DTHMHT44ZGN7RTBU/?utm_source=bigkinds&utm_medium=original&utm_campaign=news,선택적교육활동,방과후학교운영,늘봄학교운영,늘봄학교(교실)운영,"늘봄학교 운영, 돌봄교실 확장, 온종일 교육체계, 학교 중심 돌봄",0.7971711158752441
1100901.202402061,20240206,중앙일보,서울시립대 대학일자리플러스센터 직원 대상 진로 취업 교육,노션 대학일자리플러스센터 서울시립대학교 서울시립대 활용법 학생들 한국파트너 박현정 강원준 2단계 이용자 이용자들 4억 자료관리 소셜네트워크서비스 소셜,https://www.joongang.co.kr/article/25227305,선택적교육활동,직업교육,직업교육운영,취업역량강화지원,"취업 지원, 학생 취업역량 강화, 취업 연계 교육",0.7916763424873352
1100701.202402161,20240216,세계일보,돌봄 방과후 수업 제공 늘봄학교 서울 38개교 우선 시행,늘봄학교 1학기 서울 교육프로그램 2학기 연계형 시교육청 서울시교육청 사업비 행정업무 늘봄 서울형,http://www.segye.com/content/html/2024/02/16/20240216505554.html,선택적교육활동,방과후학교운영,늘봄학교운영,늘봄학교(교실)운영,"늘봄학교 운영, 돌봄교실 확장, 온종일 교육체계, 학교 중심 돌봄",0.7856213450431824
1100611.202402251,20240225,서울신문,경기교육청 다문화 특별학급 88개 학급으로 확대,다문화 교육과정 특별학급 다문화학생 한국어 도교육청 공교육 단계별 조영민 전문가 구성원 환류 적응과정 사회구성원 중등학교 경기도교육청 경기도 90여명,http://go.seoul.co.kr/news/newsView.php?id=20240225500080,선택적교육활동,기타선택적교육활동,다문화교육운영,다문화교육/학급운영,"다문화 학급 운영, 다문화 학생 교육, 다문화 통합 교육",0.780128002166748
1100501.202402051,20240205,문화일보,늘봄학교 1 1조 투입 실무직원 6000명 증원,늘봄학교 늘봄 공무원 순증 1학기 2학기 하남 돌봄 1조 단기계약직 퇴직교원 ublic care 부모님 인지현 공무직 교육지원청 지원청 교육부 늘봄지원실장 토론회 행정업무 민생토론회,http://www.munhwa.com/news/view.html?no=2024020501070121043001,선택적교육활동,방과후학교운영,늘봄학교운영,늘봄전담인력운영,"늘봄교실 전담 인력, 학교 돌봄 전담자, 돌봄 인력 확충",0.7789905667304993
1100751.202402251,20240225,아시아투데이,경기도교육청 특별학급 15개 확대 다문화학생 성장 지원,다문화 교육과정 특별학급 도교육청 한국어 경기도교육청 조영민 공교육 다문화학생 전문가 김주홍 아시아투데이 한국 문화학생 제28조 교육법 중등교육법 환류,https://www.asiatoday.co.kr/view.php?key=20240225010012325,선택적교육활동,기타선택적교육활동,다문화교육운영,다문화교육/학급운영,"다문화 학급 운영, 다문화 학생 교육, 다문화 통합 교육",0.7759018540382385
