뉴스 식별자,일자,언론사,제목,특성추출(가중치순 상위 50개),URL,대분류,중분류,소분류,세부항목 예시,뉴스 일반 표현,유사도
1100751.202207111,20220711,아시아투데이,교육부 진로고민 학생선수 맞춤형 상담 본격지원,학생선수 교육부 진로멘토링 교육청 학생선수들 진로상담 진로특강 장상윤 박지숙 아시아투데이 진로상담지원단 지원단 진학상담,https://www.asiatoday.co.kr/view.php?key=20220711010005788,기본적교육활동,창의적체험활동,진로활동,진로상담활동,"진로 상담, 진로 멘토링, 학생 진로 설계 지도, 진로코칭 프로그램",0.8083333373069763
1100751.202207031,20220703,아시아투데이,문경교육지원청 학교 내 성희롱 성폭력 사안처리 업무담당자 연수,성희롱 문경 성폭력 각종학교 안중환 상담원 성고충 지원청 장성훈 경북 대회의실 교원들 박희정 일탈행위 구성원 문경교육지원청 학년도 연수 발생 학교 사안,https://www.asiatoday.co.kr/view.php?key=20220703010000602,교육활동지원,생활지도운영,학교폭력예방,학교폭력관련연수지원,"학교폭력 연수, 교사 연수 프로그램, 폭력 예방 교육",0.7614759206771851
1100611.20220706,20220706,서울신문,비중 커진 대입면접 학교 전형별 일정부터 챙겨라,학생부종합전형 아주대 1단계 학생부 2단계 자연계열 서울대 연세대 전형별 우연철 진학사 인문계열 코로나19 달라,http://www.seoul.co.kr/news/newsView.php?id=20220706021002,교육활동지원,교무업무운영,교무학사운영,입학전형,"학교 입학전형, 입학전형 관리, 전형 일정 공고",0.7601449489593506
1100701.202207282,20220728,세계일보,열린마당 폭행 등 교권 침해사건 심각 교사 보호 시스템 마련해야,교육부 변호사 민사조정위원 서울 서울서부지법 노청 교육청 최우선적 학생들 상해 888건 1만 교사 교권 침해 피해 마련 교육 사건 보호 조언 건수 폭행 실제 활동 조정 민사 지법 서부 조성 분위기 학교 학생,http://www.segye.com/content/html/2022/07/28/20220728520417.html,인적자원운용,교직원복지및역량강화,교직원복지,교육활동보호지원,"교권 보호 정책, 교사 폭력 방지, 교사 보호법, 교육활동 안전 확보",0.7538423538208008
1100751.202207071,20220707,아시아투데이,도 코로나19 재유행 대비 원스톱 진료체계 구축 취약시설 관리 강화,코로나19 경기도 감염병 원스톱 확진자 대응체계 호흡기 재유행 보건소 면역력 감염취약시설 누리집,https://www.asiatoday.co.kr/view.php?key=20220707010004016,학생복지/교육격차해소,보건관리,학생및교직원보건안전관리,감염병예방관리,"코로나19 대응, 학교 방역, 전염병 예방교육, 감염병 관리 지침",0.7528409957885742
1100701.20220721,20220721,세계일보,엄중식 교수 코로나 유행 시작 때 정부가 선제적 거리두기 해야 하는데,코로나19 확진자 이용자 백경란 뉴시스 확산세 근로자 손영래 지원금 여름철 재유행 엄중식 김종배 김현정,http://www.segye.com/content/html/2022/07/21/20220721504296.html,학생복지/교육격차해소,보건관리,학생및교직원보건안전관리,감염병예방관리,"코로나19 대응, 학교 방역, 전염병 예방교육, 감염병 관리 지침",0.7521926760673523
1100401.20220727,20220727,동아일보,우영우 사회성 키우기 먼 길 장애학생 통합교육 17 뿐 인사이드 인사이트,특수교사 특수교육 서울 유치원 통합교육 중학교 통합학급 학습장애 대상자 한국 10만 우영우 특수학급 일반학교,https://www.donga.com/news/article/all/20220727/114671360/1,기본적교육활동,교과활동,특수교육교과활동,특수교육교과운영,"특수교과 운영, 장애학생 교과 수업, 통합교육 교과 지원",0.7520554661750793
1101101.202207151,20220715,한국일보,IT기업들 업무 내용으로 수업하는 맞춤형 일자리 교육 속속 확대,일자리 ai 스타트업 세종사이버대학교 산업체 kt 원티드랩 기업들 그룹사 에이블,https://hankookilbo.com/News/Read/A2022071511330002150,선택적교육활동,직업교육,직업교육운영,직업교육운영,"직업교육, 진로직업 교육, 기술교육 강화, 실무형 인재 양성",0.7502108812332153
1100501.202207011,20220701,문화일보,학부모가 만드는 교육프로그램,학부모 사업계획서 노원구 2개 협력적 계획서 참여자 참여자들 전문가 중학교 활성화 2주 8100여 서울 교육과정 교육프로그램 고등학교 사업 교육 학교 프로그램 참여 진행 보석 연계 작성 대상 협력 마련 하루 시작 기획 부담 컨설팅 형식적 교사,http://www.munhwa.com/news/view.html?no=2022070101031312053001,학교일반운영,학교운영협력,학부모협력,학부모회연수운영,"학부모 연수, 학부모 교육 프로그램, 보호자 교육",0.7500147223472595
1100611.202207291,20220729,서울신문,청소년에게 입체적 멘토링 제공하는 드림클래스 2 0 교육 격차 넘어 꿈 격차 줄인다,드림클래스 멘토 삼성전자 학생들 중학생 삼성 드림송 임직원 대학생 온라인 코로나19 멘티,http://www.seoul.co.kr/news/newsView.php?id=20220729500078,선택적교육활동,기타선택적교육활동,기타선택적교육운영,대학생멘토링제운영,"대학생 멘토링, 학습 멘토 프로그램, 교육기부 멘토링, 취약계층 학습지원",0.7489156723022461
