과목,과목,과목,과목,금액
장,관,항,목,금액
이전수입,이전수입,이전수입,이전수입,1168378460
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,55000000
,,국고보조금,국고보조금,55000000
,,,국고보조금,55000000
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,0
,,비법정이전수입,비법정이전수입,0
,,,광역지방자치단체전입금,0
,,,기초지방자치단체전입금,0
,,교육경비보조금,교육경비보조금,0
,,,광역지방자치단체전입금,0
,,,기초지방자치단체전입금,0
,지방교육자치단체이전수입,지방교육자치단체이전수입,지방교육자치단체이전수입,989498510
,,교육비특별회계전입금수입,교육비특별회계전입금수입,989498510
,,,교육비특별회계전입금,989498510
,,기금회계전입금수입,기금회계전입금수입,0
,,,기금회계전입금,0
,기타이전수입,기타이전수입,기타이전수입,123879950
,,학교회계간이전수입,학교회계간이전수입,91354950
,,,학교발전기금전입금,0
,,,다른학교회계전입금,91354950
,,,기타학교회계전입금,0
,,기타공공이전수입,기타공공이전수입,32525000
,,,기타공공지원금,32525000
자체수입,자체수입,자체수입,자체수입,48421948
,학부모부담수입,학부모부담수입,학부모부담수입,45501230
,,등록금,등록금,0
,,,학교운영지원비,0
,,수익자부담수입,수익자부담수입,45501230
,,,급식비,33672150
,,,방과후학교활동비,10679200
,,,현장체험학습비,0
,,,청소년단체활동비,0
,,,졸업앨범비,1149880
,,,교과서비,0
,,,기숙사비,0
,,,기타수익자부담수입,0
,,,누리과정비,0
,,,교복구입비,0
,,,운동부운영비,0
,,,돌봄활동운영비,0
,행정활동수입,행정활동수입,행정활동수입,2920718
,,사용료및수수료,사용료및수수료,241230
,,,사용료및수수료,241230
,,자산수입,자산수입,0
,,,자산매각대,0
,,적립금처분수입,적립금처분수입,0
,,,적립금처분수입,0
,,보증금회수,보증금회수,0
,,,보증금회수,0
,,기타행정활동수입,기타행정활동수입,2679488
,,,지난년도수입,0
,,,이자수입,1169149
,,,기타행정활동수입,1510339
기타수입,기타수입,기타수입,기타수입,46550329
,전년도이월금,전년도이월금,전년도이월금,46550329
,,순세계잉여금,순세계잉여금,45654329
,,,순세계잉여금,45654329
,,정산대상재원사용잔액,정산대상재원사용잔액,0
,,,정산대상재원사용잔액,0
,,이월금,이월금,896000
,,,이월사업비,896000
세입합계,세입합계,세입합계,세입합계,1263350737
